url,team,ranking,opp,opp_ranking,datetime,stadium,referee,attendance,competition,possession,opp_possession,venue_href,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc,game_id
https://www.fotmob.com/en-GB/matches/england-vs-germany/2enrp52767775,England,5,Germany,16,2021-06-29T16:00:00.000Z,Wembley Stadium,Danny Makkelie,"41,973",EURO Round of 16 2020,46,54,"https://www.google.com/maps/?q=51.555855,-0.279593",1.09,5,4,3,1,371,83,11,3,1,0,0,4,1,1.00,0.10,1.09,1.95,445,198,173,22,42,4,31,17,2,3,0,6,50,6,2,21,3,51,27,53,24,59,6,60,1.17,9,3,2,2,443,84,9,3,4,2,0,5,4,1.05,0.13,1.17,0.64,528,296,147,16,31,2,15,14,2,2,0,5,45,6,0,13,2,41,24,47,17,41,2,20,1001
https://www.fotmob.com/en-GB/matches/england-vs-germany/2enrp52767775,Germany,16,England,5,2021-06-29T16:00:00.000Z,Wembley Stadium,Danny Makkelie,"41,973",EURO Round of 16 2020,54,46,"https://www.google.com/maps/?q=51.555855,-0.279593",1.17,9,3,2,2,443,84,9,3,4,2,0,5,4,1.05,0.13,1.17,0.64,528,296,147,16,31,2,15,14,2,2,0,5,45,6,0,13,2,41,24,47,17,41,2,20,1.09,5,4,3,1,371,83,11,3,1,0,0,4,1,1.00,0.10,1.09,1.95,445,198,173,22,42,4,31,17,2,3,0,6,50,6,2,21,3,51,27,53,24,59,6,60,1001
