opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Peru,2018-06-16T16:00:00.000Z,Mordovia-Arena,Bakary Papa Gassama,"40,502",FIFA World Cup Round 1 2018,21,47.0,,10,3,2.0,1.0,289,79.0,18,7,5.0,2.0,0.0,4.0,6.0,,,,,364,142.0,147.0,23.0,43.0,1.0,6.0,17.0,3,2.0,0.0,13.0,76.0,8.0,2.0,24.0,6.0,61.0,33.0,47.0,28.0,53.0,8.0,67.0,1059,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2018-06-16T16:00:00.000Z,Mordovia-Arena,Bakary Papa Gassama,"40,502",FIFA World Cup Round 1 2018,32,53.0,,17,6,1.0,1.0,341,82.0,10,3,9.0,2.0,0.0,13.0,4.0,,,,,418,143.0,198.0,35.0,56.0,5.0,31.0,21.0,5,1.0,0.0,8.0,62.0,5.0,2.0,21.0,2.0,62.0,37.0,53.0,25.0,47.0,9.0,82.0,1059,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2018-06-16T19:00:00.000Z,Kaliningrad Stadium,Sandro Ricci,"31,136",FIFA World Cup Round 1 2018,30,45.0,,14,2,0.0,0.0,309,78.0,16,5,7.0,5.0,0.0,10.0,4.0,,,,,398,179.0,130.0,22.0,36.0,3.0,19.0,18.0,1,1.0,0.0,10.0,59.0,11.0,2.0,20.0,1.0,74.0,56.0,63.0,18.0,38.0,20.0,74.0,1055,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,2018-06-16T19:00:00.000Z,Kaliningrad Stadium,Sandro Ricci,"31,136",FIFA World Cup Round 1 2018,10,55.0,,11,2,2.0,1.0,384,79.0,20,6,7.0,2.0,0.0,7.0,4.0,,,,,484,214.0,170.0,30.0,46.0,5.0,23.0,12.0,2,2.0,0.0,5.0,36.0,8.0,5.0,31.0,2.0,63.0,33.0,37.0,30.0,63.0,8.0,47.0,1055,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2018-06-17T12:00:00.000Z,Cosmos Arena,Malang Diedhiou,"41,432",FIFA World Cup Round 1 2018,33,48.0,,10,3,1.0,1.0,326,78.0,15,4,6.0,1.0,0.0,5.0,5.0,,,,,418,149.0,177.0,29.0,48.0,5.0,33.0,25.0,3,2.0,0.0,17.0,68.0,5.0,4.0,22.0,3.0,79.0,53.0,55.0,26.0,53.0,11.0,65.0,1060,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,2018-06-17T12:00:00.000Z,Cosmos Arena,Malang Diedhiou,"41,432",FIFA World Cup Round 1 2018,52,52.0,,10,3,1.0,1.0,359,80.0,18,5,3.0,4.0,0.0,5.0,5.0,,,,,449,167.0,192.0,30.0,44.0,5.0,23.0,22.0,1,2.0,0.0,11.0,55.0,15.0,1.0,20.0,2.0,67.0,44.0,45.0,23.0,47.0,9.0,43.0,1060,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2018-06-17T15:00:00.000Z,Luzhniki,Alireza Faghani,"78,011",FIFA World Cup Round 1 2018,16,66.0,,26,9,0.0,0.0,518,87.0,10,8,8.0,9.0,2.0,12.0,14.0,,,,,596,151.0,367.0,36.0,64.0,5.0,18.0,17.0,1,2.0,0.0,7.0,58.0,9.0,2.0,5.0,3.0,46.0,32.0,41.0,14.0,52.0,7.0,64.0,1061,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2018-06-17T15:00:00.000Z,Luzhniki,Alireza Faghani,"78,011",FIFA World Cup Round 1 2018,14,34.0,,13,4,1.0,0.0,232,76.0,16,1,7.0,2.0,0.0,5.0,8.0,,,,,304,111.0,121.0,30.0,45.0,2.0,25.0,21.0,1,2.0,0.0,14.0,67.0,19.0,8.0,29.0,9.0,59.0,46.0,59.0,13.0,48.0,16.0,67.0,1061,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2018-06-17T18:00:00.000Z,Rostov-on-Don Stadium,Cesar Ramos,"43,109",FIFA World Cup Round 1 2018,5,55.0,,21,5,3.0,3.0,478,88.0,11,7,10.0,6.0,0.0,12.0,9.0,,,,,544,256.0,222.0,15.0,52.0,5.0,25.0,11.0,1,1.0,0.0,7.0,64.0,11.0,0.0,13.0,1.0,58.0,46.0,55.0,12.0,50.0,16.0,62.0,1062,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2018-06-17T18:00:00.000Z,Rostov-on-Don Stadium,Cesar Ramos,"43,109",FIFA World Cup Round 1 2018,19,45.0,,6,2,1.0,0.0,362,80.0,19,2,4.0,0.0,0.0,3.0,3.0,,,,,453,193.0,169.0,25.0,45.0,2.0,17.0,20.0,0,3.0,0.0,13.0,54.0,13.0,6.0,19.0,3.0,49.0,37.0,45.0,12.0,50.0,4.0,31.0,1062,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
