team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament
Germany,2021-06-29 16:00:00+00:00,EURO Round of 16 2020,4,46.0,5.0,4.0,3.0,371.0,83.0,11.0,3.0,0.0,4.0,1.0,445.0,198.0,173.0,22.0,42.0,4.0,31.0,17.0,2.0,3.0,0.0,6.0,50.0,6.0,2.0,21.0,3.0,51.0,27.0,53.0,24.0,59.0,6.0,60.0,1001,,England,0
England,2021-06-29 16:00:00+00:00,EURO Round of 16 2020,16,54.0,9.0,3.0,2.0,443.0,84.0,9.0,3.0,2.0,5.0,4.0,528.0,296.0,147.0,16.0,31.0,2.0,15.0,14.0,2.0,2.0,0.0,5.0,45.0,6.0,0.0,13.0,2.0,41.0,24.0,47.0,17.0,41.0,2.0,20.0,1001,,Germany,0
Ukraine,2021-06-29 19:00:00+00:00,EURO Round of 16 2020,27,46.0,13.0,3.0,1.0,534.0,84.0,11.0,6.0,3.0,9.0,4.0,639.0,240.0,294.0,14.0,31.0,2.0,11.0,21.0,2.0,2.0,1.0,3.0,33.0,5.0,2.0,16.0,2.0,39.0,26.0,48.0,13.0,46.0,10.0,83.0,1002,,Sweden,0
Sweden,2021-06-29 19:00:00+00:00,EURO Round of 16 2020,22,54.0,15.0,4.0,3.0,660.0,86.0,7.0,2.0,2.0,11.0,4.0,765.0,328.0,332.0,39.0,49.0,5.0,29.0,26.0,3.0,2.0,0.0,5.0,38.0,13.0,3.0,25.0,2.0,43.0,28.0,52.0,15.0,54.0,4.0,57.0,1002,,Ukraine,0
Spain,2021-07-02 16:00:00+00:00,EURO Quarter-final 2020,19,28.0,8.0,2.0,1.0,261.0,71.0,15.0,9.0,2.0,6.0,2.0,369.0,164.0,97.0,35.0,43.0,5.0,31.0,13.0,4.0,2.0,1.0,17.0,52.0,12.0,9.0,27.0,10.0,68.0,54.0,64.0,14.0,42.0,8.0,67.0,1003,,Switzerland,0
Switzerland,2021-07-02 16:00:00+00:00,EURO Quarter-final 2020,8,72.0,28.0,10.0,3.0,880.0,91.0,14.0,13.0,10.0,22.0,6.0,969.0,341.0,539.0,38.0,70.0,13.0,41.0,29.0,2.0,1.0,0.0,6.0,50.0,9.0,2.0,13.0,1.0,50.0,31.0,36.0,19.0,58.0,5.0,28.0,1003,,Spain,0
Italy,2021-07-02 19:00:00+00:00,EURO Quarter-final 2020,3,46.0,10.0,4.0,2.0,373.0,83.0,16.0,9.0,5.0,5.0,5.0,448.0,212.0,161.0,27.0,55.0,2.0,11.0,18.0,1.0,1.0,0.0,10.0,59.0,10.0,4.0,13.0,2.0,60.0,42.0,55.0,18.0,69.0,13.0,68.0,1004,,Belgium,0
Belgium,2021-07-02 19:00:00+00:00,EURO Quarter-final 2020,9,54.0,14.0,3.0,3.0,470.0,88.0,13.0,5.0,4.0,8.0,6.0,533.0,167.0,303.0,37.0,64.0,4.0,40.0,15.0,2.0,2.0,0.0,5.0,33.0,8.0,6.0,18.0,2.0,43.0,35.0,45.0,8.0,31.0,5.0,38.0,1004,,Italy,0
Denmark,2021-07-03 16:00:00+00:00,EURO Quarter-final 2020,36,55.0,16.0,5.0,1.0,362.0,80.0,9.0,9.0,5.0,11.0,5.0,452.0,164.0,198.0,24.0,43.0,7.0,25.0,15.0,3.0,2.0,0.0,8.0,67.0,12.0,3.0,13.0,4.0,49.0,30.0,52.0,19.0,43.0,9.0,75.0,1005,,Czechia,0
Czechia,2021-07-03 16:00:00+00:00,EURO Quarter-final 2020,21,45.0,11.0,7.0,2.0,284.0,76.0,10.0,7.0,2.0,8.0,3.0,376.0,140.0,144.0,37.0,52.0,4.0,29.0,17.0,0.0,0.0,0.0,8.0,62.0,18.0,4.0,31.0,4.0,53.0,28.0,48.0,25.0,57.0,8.0,67.0,1005,,Denmark,0
England,2021-07-03 19:00:00+00:00,EURO Quarter-final 2020,22,49.0,7.0,2.0,0.0,525.0,89.0,10.0,3.0,4.0,3.0,4.0,590.0,314.0,211.0,15.0,41.0,1.0,17.0,11.0,0.0,0.0,0.0,13.0,76.0,9.0,2.0,7.0,2.0,27.0,24.0,44.0,3.0,27.0,3.0,60.0,1006,,Ukraine,0
Ukraine,2021-07-03 19:00:00+00:00,EURO Quarter-final 2020,4,51.0,10.0,6.0,4.0,569.0,91.0,4.0,2.0,2.0,8.0,2.0,622.0,276.0,293.0,25.0,58.0,5.0,63.0,20.0,2.0,0.0,0.0,4.0,40.0,9.0,4.0,11.0,2.0,38.0,30.0,56.0,8.0,73.0,12.0,60.0,1006,,England,0
Spain,2021-07-06 19:00:00+00:00,EURO Semi-final 2020,9,30.0,7.0,4.0,1.0,287.0,74.0,17.0,1.0,1.0,5.0,2.0,387.0,194.0,93.0,23.0,37.0,0.0,0.0,28.0,8.0,2.0,0.0,8.0,47.0,24.0,5.0,21.0,3.0,46.0,36.0,49.0,10.0,50.0,2.0,25.0,1007,,Italy,0
Italy,2021-07-06 19:00:00+00:00,EURO Semi-final 2020,8,70.0,16.0,5.0,3.0,805.0,89.0,18.0,6.0,4.0,7.0,9.0,908.0,395.0,410.0,39.0,60.0,1.0,5.0,22.0,1.0,1.0,0.0,12.0,80.0,13.0,1.0,11.0,3.0,48.0,38.0,51.0,10.0,50.0,6.0,75.0,1007,,Spain,0
Denmark,2021-07-07 19:00:00+00:00,EURO Semi-final 2020,4,58.0,20.0,10.0,4.0,636.0,87.0,10.0,6.0,4.0,15.0,5.0,728.0,232.0,404.0,34.0,49.0,10.0,34.0,25.0,0.0,1.0,0.0,3.0,27.0,13.0,1.0,13.0,2.0,68.0,47.0,50.0,21.0,51.0,15.0,52.0,1008,,England,0
England,2021-07-07 19:00:00+00:00,EURO Semi-final 2020,21,42.0,6.0,3.0,0.0,432.0,81.0,21.0,5.0,1.0,1.0,5.0,534.0,260.0,172.0,28.0,40.0,1.0,7.0,21.0,1.0,1.0,0.0,16.0,48.0,15.0,4.0,33.0,9.0,67.0,47.0,50.0,20.0,49.0,5.0,36.0,1008,,Denmark,0
England,2021-07-11 19:00:00+00:00,EURO Final 2020,9,65.0,19.0,6.0,3.0,726.0,89.0,21.0,3.0,4.0,10.0,9.0,820.0,317.0,409.0,20.0,49.0,5.0,24.0,34.0,5.0,5.0,0.0,8.0,30.0,13.0,1.0,17.0,1.0,79.0,55.0,53.0,24.0,52.0,16.0,67.0,1009,,Italy,0
Italy,2021-07-11 19:00:00+00:00,EURO Final 2020,4,35.0,6.0,2.0,1.0,319.0,75.0,13.0,5.0,1.0,4.0,2.0,426.0,167.0,152.0,24.0,38.0,3.0,20.0,31.0,1.0,1.0,0.0,6.0,40.0,14.0,4.0,15.0,5.0,70.0,48.0,47.0,22.0,48.0,15.0,58.0,1009,,England,0
Spain,2021-06-23 16:00:00+00:00,EURO Grp. E Round 3 2020,48,34.0,3.0,0.0,0.0,271.0,79.0,14.0,0.0,1.0,1.0,2.0,345.0,196.0,75.0,23.0,44.0,0.0,,20.0,1.0,2.0,0.0,10.0,63.0,12.0,4.0,20.0,6.0,32.0,25.0,44.0,7.0,44.0,2.0,22.0,1010,,Slovakia,0
Slovakia,2021-06-23 16:00:00+00:00,EURO Grp. E Round 3 2020,8,66.0,19.0,9.0,4.0,598.0,90.0,7.0,7.0,4.0,14.0,5.0,666.0,274.0,324.0,27.0,79.0,7.0,35.0,19.0,0.0,2.0,0.0,6.0,50.0,8.0,1.0,1.0,0.0,41.0,32.0,56.0,9.0,56.0,7.0,70.0,1010,,Spain,0
Poland,2021-06-23 16:00:00+00:00,EURO Grp. E Round 3 2020,27,33.0,11.0,4.0,2.0,141.0,56.0,13.0,6.0,3.0,6.0,5.0,252.0,52.0,89.0,14.0,20.0,2.0,15.0,23.0,0.0,1.0,0.0,7.0,58.0,9.0,6.0,42.0,4.0,55.0,30.0,54.0,25.0,41.0,6.0,67.0,1011,,Sweden,0
Sweden,2021-06-23 16:00:00+00:00,EURO Grp. E Round 3 2020,28,67.0,18.0,6.0,3.0,387.0,80.0,13.0,10.0,6.0,10.0,8.0,482.0,192.0,195.0,25.0,45.0,9.0,19.0,25.0,1.0,2.0,0.0,4.0,44.0,8.0,3.0,20.0,1.0,62.0,26.0,46.0,36.0,59.0,6.0,50.0,1011,,Poland,0
Hungary,2021-06-23 19:00:00+00:00,EURO Grp. F Round 3 2020,16,75.0,18.0,7.0,2.0,656.0,91.0,8.0,6.0,5.0,17.0,1.0,721.0,194.0,462.0,39.0,68.0,7.0,25.0,30.0,2.0,2.0,0.0,6.0,50.0,9.0,1.0,4.0,2.0,47.0,31.0,53.0,16.0,62.0,9.0,41.0,1012,,Germany,0
Germany,2021-06-23 19:00:00+00:00,EURO Grp. F Round 3 2020,26,25.0,9.0,4.0,2.0,168.0,71.0,10.0,1.0,1.0,4.0,5.0,236.0,122.0,46.0,14.0,31.0,1.0,14.0,18.0,0.0,3.0,0.0,13.0,72.0,8.0,5.0,26.0,4.0,37.0,27.0,47.0,10.0,38.0,3.0,43.0,1012,,Hungary,0
France,2021-06-23 19:00:00+00:00,EURO Grp. F Round 3 2020,6,48.0,10.0,5.0,3.0,492.0,91.0,9.0,0.0,0.0,6.0,4.0,541.0,309.0,183.0,25.0,53.0,1.0,11.0,9.0,0.0,0.0,0.0,12.0,55.0,2.0,1.0,7.0,3.0,47.0,44.0,64.0,3.0,30.0,9.0,56.0,1013,,Portugal,0
Portugal,2021-06-23 19:00:00+00:00,EURO Grp. F Round 3 2020,2,52.0,11.0,5.0,3.0,554.0,94.0,15.0,1.0,1.0,5.0,6.0,592.0,280.0,274.0,27.0,71.0,0.0,0.0,16.0,2.0,4.0,0.0,8.0,57.0,8.0,0.0,9.0,3.0,32.0,25.0,36.0,7.0,70.0,4.0,31.0,1013,,France,0
Denmark,2021-06-26 16:00:00+00:00,EURO Round of 16 2020,29,47.0,11.0,1.0,0.0,320.0,82.0,11.0,1.0,5.0,6.0,5.0,389.0,163.0,157.0,22.0,55.0,5.0,29.0,22.0,0.0,4.0,1.0,10.0,77.0,5.0,3.0,27.0,4.0,38.0,23.0,39.0,15.0,39.0,3.0,50.0,1014,,Wales,0
Wales,2021-06-26 16:00:00+00:00,EURO Round of 16 2020,21,53.0,16.0,8.0,5.0,360.0,84.0,8.0,9.0,3.0,9.0,7.0,431.0,182.0,178.0,34.0,62.0,8.0,33.0,18.0,1.0,0.0,0.0,5.0,56.0,4.0,5.0,18.0,1.0,59.0,36.0,61.0,23.0,61.0,16.0,73.0,1014,,Denmark,0
Austria,2021-06-26 19:00:00+00:00,EURO Round of 16 2020,9,52.0,27.0,6.0,2.0,579.0,87.0,10.0,4.0,9.0,16.0,11.0,668.0,233.0,346.0,44.0,68.0,4.0,33.0,28.0,4.0,2.0,0.0,12.0,67.0,14.0,4.0,21.0,2.0,77.0,56.0,51.0,21.0,48.0,16.0,47.0,1015,,Italy,0
Italy,2021-06-26 19:00:00+00:00,EURO Round of 16 2020,25,48.0,16.0,3.0,0.0,500.0,81.0,22.0,3.0,4.0,7.0,9.0,621.0,262.0,238.0,34.0,46.0,4.0,29.0,33.0,2.0,3.0,0.0,19.0,58.0,16.0,9.0,18.0,4.0,77.0,54.0,49.0,23.0,52.0,11.0,79.0,1015,,Austria,0
Czechia,2021-06-27 16:00:00+00:00,EURO Round of 16 2020,7,52.0,6.0,0.0,3.0,297.0,71.0,6.0,6.0,2.0,5.0,1.0,417.0,135.0,162.0,23.0,34.0,2.0,9.0,24.0,4.0,2.0,1.0,10.0,83.0,9.0,3.0,5.0,3.0,62.0,34.0,54.0,28.0,51.0,10.0,59.0,1016,,Netherlands,0
Netherlands,2021-06-27 16:00:00+00:00,EURO Round of 16 2020,36,48.0,12.0,5.0,3.0,291.0,73.0,14.0,5.0,3.0,8.0,4.0,396.0,127.0,164.0,28.0,41.0,5.0,38.0,18.0,1.0,1.0,0.0,9.0,56.0,13.0,2.0,21.0,0.0,56.0,29.0,46.0,27.0,49.0,8.0,73.0,1016,,Czechia,0
Portugal,2021-06-27 19:00:00+00:00,EURO Round of 16 2020,3,43.0,6.0,1.0,0.0,375.0,83.0,14.0,0.0,1.0,1.0,5.0,451.0,199.0,176.0,31.0,52.0,1.0,20.0,10.0,1.0,2.0,0.0,7.0,41.0,7.0,5.0,28.0,4.0,52.0,38.0,47.0,14.0,50.0,14.0,67.0,1017,,Belgium,0
Belgium,2021-06-27 19:00:00+00:00,EURO Round of 16 2020,6,57.0,23.0,4.0,0.0,529.0,89.0,9.0,3.0,5.0,9.0,14.0,596.0,230.0,299.0,42.0,62.0,5.0,23.0,17.0,3.0,3.0,0.0,12.0,71.0,11.0,1.0,9.0,0.0,57.0,43.0,53.0,14.0,50.0,13.0,62.0,1017,,Portugal,0
Spain,2021-06-28 16:00:00+00:00,EURO Round of 16 2020,10,33.0,12.0,7.0,8.0,350.0,82.0,26.0,1.0,0.0,10.0,2.0,427.0,206.0,144.0,26.0,50.0,1.0,10.0,22.0,6.0,2.0,0.0,12.0,67.0,11.0,3.0,25.0,5.0,52.0,40.0,40.0,12.0,48.0,12.0,46.0,1018,,Croatia,0
Croatia,2021-06-28 16:00:00+00:00,EURO Round of 16 2020,8,67.0,23.0,10.0,8.0,792.0,90.0,10.0,8.0,3.0,18.0,5.0,883.0,374.0,418.0,52.0,66.0,9.0,36.0,17.0,3.0,0.0,0.0,17.0,74.0,9.0,1.0,10.0,4.0,72.0,59.0,60.0,13.0,52.0,11.0,61.0,1018,,Spain,0
Switzerland,2021-06-28 19:00:00+00:00,EURO Round of 16 2020,2,54.0,26.0,8.0,5.0,555.0,89.0,14.0,8.0,6.0,13.0,13.0,623.0,239.0,316.0,32.0,64.0,2.0,8.0,21.0,1.0,3.0,0.0,11.0,65.0,14.0,2.0,22.0,2.0,67.0,49.0,54.0,18.0,56.0,20.0,69.0,1019,,France,0
France,2021-06-28 19:00:00+00:00,EURO Round of 16 2020,19,46.0,12.0,5.0,2.0,453.0,85.0,13.0,5.0,3.0,7.0,5.0,534.0,214.0,239.0,32.0,64.0,5.0,33.0,24.0,1.0,4.0,0.0,8.0,38.0,11.0,5.0,33.0,5.0,55.0,41.0,46.0,14.0,44.0,8.0,50.0,1019,,Switzerland,0
France,2021-06-19 13:00:00+00:00,EURO Grp. F Round 2 2020,26,34.0,5.0,3.0,1.0,267.0,81.0,17.0,1.0,1.0,1.0,4.0,330.0,208.0,59.0,13.0,31.0,0.0,0.0,17.0,0.0,1.0,0.0,12.0,75.0,4.0,1.0,21.0,3.0,38.0,36.0,46.0,2.0,13.0,5.0,38.0,1020,,Hungary,0
Hungary,2021-06-19 13:00:00+00:00,EURO Grp. F Round 2 2020,2,66.0,15.0,4.0,4.0,589.0,91.0,15.0,3.0,1.0,10.0,5.0,650.0,171.0,418.0,46.0,87.0,6.0,23.0,18.0,1.0,1.0,0.0,8.0,50.0,9.0,0.0,3.0,2.0,57.0,43.0,54.0,14.0,88.0,10.0,53.0,1020,,France,0
Germany,2021-06-19 16:00:00+00:00,EURO Grp. F Round 2 2020,6,42.0,7.0,2.0,2.0,360.0,86.0,5.0,6.0,2.0,4.0,3.0,420.0,197.0,163.0,25.0,53.0,7.0,39.0,18.0,2.0,0.0,0.0,5.0,50.0,7.0,2.0,16.0,5.0,38.0,31.0,60.0,7.0,41.0,6.0,50.0,1021,,Portugal,0
Portugal,2021-06-19 16:00:00+00:00,EURO Grp. F Round 2 2020,16,58.0,12.0,7.0,3.0,524.0,90.0,15.0,3.0,2.0,10.0,2.0,581.0,228.0,296.0,31.0,65.0,4.0,27.0,9.0,1.0,2.0,0.0,8.0,73.0,8.0,2.0,15.0,0.0,31.0,21.0,40.0,10.0,59.0,5.0,71.0,1021,,Germany,0
Poland,2021-06-19 19:00:00+00:00,EURO Grp. E Round 2 2020,8,76.0,12.0,5.0,5.0,623.0,88.0,16.0,7.0,0.0,10.0,2.0,708.0,192.0,431.0,41.0,73.0,5.0,19.0,24.0,1.0,2.0,0.0,6.0,75.0,7.0,0.0,10.0,1.0,41.0,28.0,38.0,13.0,52.0,4.0,31.0,1022,,Spain,0
Spain,2021-06-19 19:00:00+00:00,EURO Grp. E Round 2 2020,28,24.0,5.0,2.0,2.0,128.0,59.0,17.0,1.0,0.0,3.0,2.0,217.0,76.0,52.0,24.0,39.0,3.0,33.0,18.0,2.0,4.0,0.0,11.0,50.0,15.0,0.0,31.0,4.0,57.0,45.0,62.0,12.0,48.0,9.0,60.0,1022,,Poland,0
Wales,2021-06-20 16:00:00+00:00,EURO Grp. A Round 3 2020,9,69.0,23.0,6.0,2.0,545.0,92.0,14.0,7.0,6.0,14.0,9.0,595.0,246.0,299.0,25.0,69.0,8.0,44.0,23.0,3.0,1.0,0.0,7.0,58.0,4.0,0.0,7.0,1.0,47.0,33.0,55.0,14.0,58.0,10.0,71.0,1023,,Italy,0
Italy,2021-06-20 16:00:00+00:00,EURO Grp. A Round 3 2020,29,31.0,3.0,1.0,2.0,198.0,75.0,12.0,1.0,0.0,3.0,0.0,264.0,119.0,79.0,22.0,37.0,1.0,50.0,10.0,0.0,2.0,1.0,3.0,27.0,8.0,6.0,14.0,5.0,37.0,27.0,45.0,10.0,42.0,2.0,50.0,1023,,Wales,0
Türkiye,2021-06-20 16:00:00+00:00,EURO Grp. A Round 3 2020,19,50.0,23.0,10.0,2.0,419.0,87.0,14.0,8.0,7.0,11.0,12.0,482.0,174.0,245.0,27.0,61.0,1.0,5.0,19.0,0.0,1.0,0.0,9.0,64.0,11.0,4.0,14.0,5.0,61.0,49.0,52.0,12.0,55.0,15.0,75.0,1024,,Switzerland,0
Switzerland,2021-06-20 16:00:00+00:00,EURO Grp. A Round 3 2020,40,50.0,19.0,6.0,1.0,408.0,86.0,20.0,8.0,4.0,9.0,10.0,474.0,210.0,198.0,15.0,41.0,8.0,47.0,8.0,1.0,3.0,0.0,10.0,45.0,10.0,7.0,20.0,7.0,55.0,45.0,48.0,10.0,45.0,10.0,59.0,1024,,Türkiye,0
Netherlands,2021-06-21 16:00:00+00:00,EURO Grp. C Round 3 2020,69,41.0,13.0,1.0,2.0,339.0,83.0,8.0,5.0,5.0,6.0,7.0,408.0,196.0,143.0,31.0,63.0,6.0,40.0,17.0,3.0,4.0,0.0,12.0,67.0,21.0,4.0,12.0,3.0,35.0,33.0,40.0,2.0,29.0,3.0,21.0,1025,,North Macedonia,0
North Macedonia,2021-06-21 16:00:00+00:00,EURO Grp. C Round 3 2020,7,59.0,17.0,7.0,6.0,515.0,86.0,13.0,7.0,3.0,10.0,7.0,602.0,253.0,262.0,23.0,59.0,3.0,23.0,12.0,2.0,0.0,0.0,15.0,58.0,13.0,5.0,10.0,1.0,55.0,50.0,60.0,5.0,71.0,16.0,70.0,1025,,Netherlands,0
Austria,2021-06-21 16:00:00+00:00,EURO Grp. C Round 3 2020,22,50.0,5.0,1.0,0.0,373.0,82.0,10.0,4.0,2.0,4.0,1.0,455.0,222.0,151.0,23.0,53.0,2.0,11.0,28.0,1.0,0.0,0.0,8.0,73.0,10.0,6.0,15.0,3.0,31.0,25.0,45.0,6.0,38.0,4.0,50.0,1026,,Ukraine,0
Ukraine,2021-06-21 16:00:00+00:00,EURO Grp. C Round 3 2020,25,50.0,18.0,4.0,2.0,363.0,80.0,11.0,9.0,6.0,12.0,6.0,455.0,174.0,189.0,20.0,42.0,9.0,47.0,22.0,2.0,0.0,0.0,9.0,60.0,7.0,2.0,19.0,2.0,41.0,31.0,55.0,10.0,63.0,8.0,53.0,1026,,Austria,0
Belgium,2021-06-21 19:00:00+00:00,EURO Grp. B Round 3 2020,61,40.0,7.0,1.0,0.0,377.0,84.0,6.0,0.0,5.0,4.0,3.0,451.0,253.0,124.0,26.0,46.0,2.0,33.0,7.0,0.0,0.0,0.0,5.0,50.0,16.0,3.0,32.0,7.0,32.0,28.0,44.0,4.0,22.0,8.0,53.0,1027,,Finland,0
Finland,2021-06-21 19:00:00+00:00,EURO Grp. B Round 3 2020,3,60.0,17.0,7.0,2.0,613.0,90.0,10.0,5.0,3.0,12.0,5.0,683.0,200.0,413.0,25.0,74.0,5.0,28.0,21.0,2.0,0.0,0.0,5.0,29.0,3.0,5.0,10.0,1.0,49.0,35.0,56.0,14.0,78.0,12.0,71.0,1027,,Belgium,0
Denmark,2021-06-21 19:00:00+00:00,EURO Grp. B Round 3 2020,35,36.0,6.0,2.0,1.0,185.0,67.0,15.0,1.0,1.0,3.0,3.0,277.0,88.0,97.0,24.0,44.0,1.0,25.0,15.0,3.0,2.0,0.0,13.0,54.0,8.0,4.0,30.0,6.0,74.0,46.0,58.0,28.0,60.0,7.0,88.0,1028,,Russia,0
Russia,2021-06-21 19:00:00+00:00,EURO Grp. B Round 3 2020,21,64.0,16.0,10.0,3.0,408.0,82.0,16.0,7.0,4.0,11.0,5.0,498.0,220.0,188.0,31.0,50.0,3.0,14.0,26.0,0.0,1.0,0.0,3.0,43.0,10.0,1.0,16.0,1.0,52.0,33.0,42.0,19.0,40.0,12.0,48.0,1028,,Denmark,0
Scotland,2021-06-22 19:00:00+00:00,EURO Grp. D Round 3 2020,10,66.0,11.0,6.0,1.0,567.0,88.0,10.0,5.0,2.0,4.0,7.0,642.0,300.0,267.0,32.0,60.0,3.0,33.0,20.0,4.0,1.0,0.0,4.0,67.0,10.0,2.0,22.0,2.0,41.0,22.0,50.0,19.0,56.0,11.0,73.0,1029,,Croatia,0
Croatia,2021-06-22 19:00:00+00:00,EURO Grp. D Round 3 2020,39,34.0,11.0,3.0,2.0,242.0,79.0,8.0,7.0,2.0,7.0,4.0,308.0,113.0,129.0,28.0,50.0,5.0,23.0,17.0,1.0,1.0,0.0,7.0,58.0,10.0,2.0,12.0,3.0,37.0,22.0,50.0,15.0,44.0,2.0,40.0,1029,,Scotland,0
England,2021-06-22 19:00:00+00:00,EURO Grp. D Round 3 2020,36,44.0,7.0,1.0,0.0,323.0,79.0,10.0,4.0,2.0,5.0,2.0,411.0,184.0,139.0,18.0,39.0,1.0,6.0,19.0,2.0,1.0,0.0,11.0,73.0,9.0,0.0,17.0,3.0,37.0,27.0,53.0,10.0,36.0,2.0,50.0,1030,,Czechia,0
Czechia,2021-06-22 19:00:00+00:00,EURO Grp. D Round 3 2020,4,56.0,5.0,3.0,3.0,443.0,84.0,11.0,6.0,0.0,4.0,1.0,528.0,262.0,181.0,32.0,54.0,1.0,7.0,20.0,5.0,0.0,0.0,3.0,50.0,14.0,2.0,12.0,1.0,42.0,24.0,47.0,18.0,64.0,9.0,60.0,1030,,England,0
Portugal,2021-06-15 16:00:00+00:00,EURO Grp. F Round 1 2020,26,30.0,5.0,3.0,0.0,221.0,75.0,10.0,0.0,0.0,2.0,3.0,293.0,158.0,63.0,24.0,41.0,4.0,44.0,16.0,2.0,2.0,0.0,8.0,57.0,15.0,0.0,26.0,4.0,54.0,43.0,48.0,11.0,48.0,14.0,56.0,1031,,Hungary,0
Hungary,2021-06-15 16:00:00+00:00,EURO Grp. F Round 1 2020,6,70.0,11.0,7.0,3.0,594.0,89.0,15.0,6.0,0.0,9.0,2.0,671.0,216.0,378.0,54.0,72.0,4.0,15.0,19.0,1.0,1.0,0.0,19.0,63.0,2.0,0.0,7.0,3.0,59.0,47.0,52.0,12.0,52.0,7.0,39.0,1031,,Portugal,0
Germany,2021-06-15 19:00:00+00:00,EURO Grp. F Round 1 2020,2,38.0,4.0,1.0,0.0,358.0,82.0,7.0,3.0,1.0,4.0,0.0,434.0,210.0,148.0,34.0,55.0,1.0,17.0,16.0,5.0,0.0,0.0,10.0,56.0,15.0,3.0,24.0,1.0,50.0,38.0,63.0,12.0,52.0,10.0,63.0,1032,,France,0
France,2021-06-15 19:00:00+00:00,EURO Grp. F Round 1 2020,16,62.0,10.0,1.0,1.0,617.0,89.0,10.0,5.0,3.0,7.0,3.0,692.0,257.0,360.0,31.0,66.0,6.0,26.0,14.0,2.0,1.0,0.0,12.0,80.0,7.0,1.0,4.0,1.0,33.0,22.0,37.0,11.0,48.0,1.0,8.0,1032,,Germany,0
Russia,2021-06-16 13:00:00+00:00,EURO Grp. B Round 2 2020,61,41.0,11.0,1.0,0.0,327.0,80.0,12.0,1.0,6.0,8.0,3.0,407.0,163.0,164.0,27.0,45.0,6.0,46.0,15.0,2.0,2.0,0.0,8.0,44.0,15.0,3.0,30.0,2.0,62.0,36.0,56.0,26.0,50.0,6.0,67.0,1033,,Finland,0
Finland,2021-06-16 13:00:00+00:00,EURO Grp. B Round 2 2020,35,59.0,14.0,3.0,0.0,481.0,83.0,12.0,4.0,3.0,10.0,4.0,581.0,179.0,302.0,33.0,56.0,7.0,37.0,22.0,2.0,3.0,0.0,10.0,91.0,3.0,6.0,12.0,1.0,54.0,28.0,44.0,26.0,50.0,8.0,40.0,1033,,Russia,0
Wales,2021-06-16 16:00:00+00:00,EURO Grp. A Round 2 2020,40,63.0,18.0,6.0,1.0,431.0,84.0,18.0,10.0,6.0,12.0,6.0,514.0,229.0,202.0,24.0,57.0,9.0,32.0,14.0,1.0,2.0,0.0,5.0,71.0,8.0,3.0,18.0,5.0,44.0,20.0,34.0,24.0,46.0,5.0,63.0,1034,,Türkiye,0
Türkiye,2021-06-16 16:00:00+00:00,EURO Grp. A Round 2 2020,29,37.0,16.0,7.0,6.0,231.0,76.0,8.0,7.0,3.0,15.0,1.0,303.0,106.0,125.0,28.0,46.0,5.0,31.0,19.0,0.0,2.0,0.0,3.0,30.0,12.0,7.0,26.0,5.0,66.0,38.0,66.0,28.0,54.0,11.0,73.0,1034,,Wales,0
Switzerland,2021-06-16 19:00:00+00:00,EURO Grp. A Round 2 2020,9,49.0,13.0,3.0,5.0,451.0,86.0,10.0,3.0,3.0,8.0,5.0,527.0,228.0,223.0,26.0,44.0,2.0,25.0,11.0,2.0,0.0,0.0,8.0,67.0,18.0,1.0,10.0,1.0,32.0,27.0,47.0,5.0,31.0,4.0,36.0,1035,,Italy,0
Italy,2021-06-16 19:00:00+00:00,EURO Grp. A Round 2 2020,19,51.0,6.0,1.0,0.0,472.0,87.0,12.0,2.0,1.0,2.0,4.0,543.0,266.0,206.0,24.0,56.0,2.0,18.0,15.0,4.0,2.0,0.0,8.0,57.0,14.0,3.0,20.0,0.0,42.0,31.0,53.0,11.0,69.0,8.0,57.0,1035,,Switzerland,0
North Macedonia,2021-06-17 13:00:00+00:00,EURO Grp. C Round 2 2020,22,52.0,17.0,8.0,6.0,390.0,87.0,9.0,5.0,3.0,11.0,6.0,450.0,198.0,192.0,19.0,51.0,5.0,56.0,22.0,3.0,1.0,0.0,8.0,57.0,10.0,2.0,13.0,4.0,37.0,28.0,43.0,9.0,56.0,6.0,33.0,1036,,Ukraine,0
Ukraine,2021-06-17 13:00:00+00:00,EURO Grp. C Round 2 2020,69,48.0,13.0,5.0,2.0,338.0,85.0,9.0,5.0,2.0,6.0,7.0,400.0,188.0,150.0,33.0,63.0,3.0,21.0,24.0,1.0,2.0,0.0,8.0,50.0,10.0,2.0,9.0,7.0,44.0,37.0,57.0,7.0,44.0,13.0,72.0,1036,,North Macedonia,0
