team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament
Greece,2021-03-31 18:45:00+00:00,World Cup,75,44.0,9.0,4.0,0.0,357.0,82.0,13.0,9.0,3.0,4.0,5.0,437.0,197.0,160.0,19.0,45.0,5.0,24.0,19.0,2.0,3.0,0.0,12.0,67.0,17.0,1.0,17.0,2.0,66.0,51.0,61.0,15.0,47.0,16.0,62.0,1180,,Georgia,1
Liechtenstein,2023-10-16 18:45:00+00:00,Qualification,202,31.0,3.0,3.0,0.0,202.0,68.0,10.0,1.0,0.0,1.0,2.0,297.0,172.0,30.0,17.0,27.0,0.0,,17.0,0.0,0.0,0.0,11.0,55.0,11.0,6.0,31.0,7.0,36.0,30.0,49.0,6.0,18.0,2.0,22.0,1181,,Iceland,0
Iceland,2023-10-16 18:45:00+00:00,Qualification,72,69.0,26.0,11.0,7.0,551.0,87.0,10.0,13.0,7.0,22.0,4.0,634.0,224.0,327.0,61.0,78.0,15.0,38.0,24.0,2.0,0.0,0.0,7.0,70.0,10.0,0.0,0.0,2.0,59.0,31.0,51.0,28.0,82.0,11.0,58.0,1181,,Liechtenstein,0
Italy,2021-03-31 18:45:00+00:00,World Cup,137,34.0,7.0,2.0,1.0,244.0,74.0,14.0,4.0,3.0,4.0,3.0,331.0,179.0,65.0,25.0,38.0,4.0,36.0,14.0,3.0,3.0,0.0,8.0,73.0,15.0,7.0,22.0,9.0,35.0,28.0,45.0,7.0,23.0,4.0,50.0,1182,,Italy,1
Italy,2021-03-31 18:45:00+00:00,World Cup,9,66.0,29.0,11.0,8.0,554.0,86.0,13.0,5.0,7.0,19.0,10.0,646.0,172.0,382.0,33.0,59.0,7.0,35.0,28.0,2.0,3.0,0.0,8.0,80.0,15.0,2.0,3.0,2.0,57.0,34.0,55.0,23.0,77.0,10.0,67.0,1182,,Italy,1
Israel,2021-03-31 18:45:00+00:00,World Cup,153,26.0,12.0,4.0,2.0,137.0,59.0,14.0,4.0,5.0,9.0,3.0,232.0,77.0,60.0,16.0,27.0,8.0,50.0,18.0,0.0,4.0,1.0,6.0,40.0,17.0,5.0,17.0,4.0,47.0,27.0,41.0,20.0,56.0,7.0,39.0,1183,,Moldova,1
Moldova,2021-03-31 18:45:00+00:00,World Cup,78,74.0,20.0,8.0,6.0,597.0,87.0,5.0,5.0,5.0,13.0,7.0,687.0,243.0,354.0,27.0,57.0,2.0,13.0,22.0,3.0,2.0,0.0,10.0,67.0,10.0,5.0,8.0,3.0,55.0,39.0,59.0,16.0,44.0,12.0,57.0,1183,,Israel,1
Bulgaria,2021-03-31 18:45:00+00:00,World Cup,73,70.0,14.0,3.0,0.0,457.0,83.0,17.0,12.0,5.0,10.0,4.0,549.0,196.0,261.0,26.0,47.0,8.0,24.0,27.0,3.0,3.0,0.0,7.0,47.0,4.0,0.0,9.0,1.0,58.0,36.0,53.0,22.0,51.0,8.0,57.0,1184,,Northern Ireland,1
Northern Ireland,2021-03-31 18:45:00+00:00,World Cup,83,30.0,3.0,1.0,0.0,143.0,60.0,17.0,2.0,0.0,3.0,0.0,239.0,88.0,55.0,16.0,23.0,2.0,33.0,18.0,5.0,3.0,0.0,6.0,60.0,11.0,5.0,37.0,3.0,53.0,32.0,47.0,21.0,49.0,5.0,36.0,1184,,Bulgaria,1
Albania,2021-03-31 18:45:00+00:00,World Cup,210,21.0,4.0,1.0,0.0,107.0,57.0,10.0,0.0,2.0,0.0,4.0,187.0,68.0,39.0,15.0,30.0,0.0,0.0,15.0,2.0,2.0,0.0,10.0,50.0,13.0,7.0,57.0,3.0,55.0,36.0,49.0,19.0,48.0,3.0,23.0,1185,,San Marino,1
