country,points,date
Argentina,1858,2024-04-04
France,1840.59,2024-04-04
Belgium,1795.23,2024-04-04
England,1794.9,2024-04-04
Brazil,1788.65,2024-04-04
Portugal,1748.11,2024-04-04
Netherlands,1742.29,2024-04-04
Spain,1727.5,2024-04-04
Italy,1724.6,2024-04-04
Croatia,1721.07,2024-04-04
USA,1681.13,2024-04-04
Colombia,1664.28,2024-04-04
Morocco,1661.42,2024-04-04
Mexico,1661.11,2024-04-04
Uruguay,1659.39,2024-04-04
Germany,1644.21,2024-04-04
Senegal,1624.73,2024-04-04
Japan,1621.88,2024-04-04
Switzerland,1616.41,2024-04-04
IR Iran,1613.96,2024-04-04
Denmark,1602.72,2024-04-04
Ukraine,1568.86,2024-04-04
Korea Republic,1563.99,2024-04-04
Australia,1563.93,2024-04-04
Austria,1554.86,2024-04-04
Hungary,1532.2,2024-04-04
Sweden,1531.68,2024-04-04
Poland,1531.49,2024-04-04
Wales,1531.38,2024-04-04
Nigeria,1520.27,2024-04-04
Ecuador,1518.22,2024-04-04
Peru,1515.82,2024-04-04
Serbia,1514.2,2024-04-04
Qatar,1507.94,2024-04-04
Russia,1504.02,2024-04-04
Czechia,1501.47,2024-04-04
Egypt,1499.72,2024-04-04
Côte d'Ivoire,1498.8,2024-04-04
Scotland,1497.46,2024-04-04
Türkiye,1495.94,2024-04-04
Tunisia,1493.12,2024-04-04
Chile,1491.71,2024-04-04
Algeria,1482.71,2024-04-04
Mali,1477.9,2024-04-04
Panama,1475.62,2024-04-04
Romania,1468.17,2024-04-04
Norway,1467.51,2024-04-04
Slovakia,1461.55,2024-04-04
Canada,1461.16,2024-04-04
Greece,1457.89,2024-04-04
Cameroon,1452.59,2024-04-04
Costa Rica,1445.38,2024-04-04
Saudi Arabia,1443.53,2024-04-04
Venezuela,1442.29,2024-04-04
Jamaica,1435.33,2024-04-04
Paraguay,1430.73,2024-04-04
Slovenia,1427.84,2024-04-04
Iraq,1420.47,2024-04-04
South Africa,1407.67,2024-04-04
Republic of Ireland,1399.74,2024-04-04
Finland,1394.44,2024-04-04
Burkina Faso,1390.38,2024-04-04
Congo DR,1388.25,2024-04-04
Uzbekistan,1386.58,2024-04-04
Cabo Verde,1383.44,2024-04-04
Albania,1375.1,2024-04-04
United Arab Emirates,1366.45,2024-04-04
Ghana,1358.77,2024-04-04
North Macedonia,1354.19,2024-04-04
Montenegro,1351.72,2024-04-04
Jordan,1350.21,2024-04-04
Iceland,1346.82,2024-04-04
Northern Ireland,1341.05,2024-04-04
Bosnia and Herzegovina,1335.6,2024-04-04
Georgia,1333.76,2024-04-04
Guinea,1324.65,2024-04-04
Oman,1323.23,2024-04-04
Israel,1311.39,2024-04-04
Equatorial Guinea,1308.03,2024-04-04
Bahrain,1307.53,2024-04-04
El Salvador,1305.02,2024-04-04
Honduras,1301.92,2024-04-04
Bulgaria,1292.59,2024-04-04
Gabon,1287.33,2024-04-04
Bolivia,1283.88,2024-04-04
Zambia,1278.26,2024-04-04
Luxembourg,1277.94,2024-04-04
China PR,1275.22,2024-04-04
Syria,1266.52,2024-04-04
Haiti,1262.5,2024-04-04
Curaçao,1262.48,2024-04-04
Uganda,1242.15,2024-04-04
Palestine,1238.66,2024-04-04
Angola,1235.76,2024-04-04
Armenia,1229.18,2024-04-04
Belarus,1226.54,2024-04-04
Benin,1225.68,2024-04-04
Trinidad and Tobago,1220.65,2024-04-04
Tajikistan,1216.76,2024-04-04
