country,points,date
Argentina,1840.93,2023-04-06
France,1838.45,2023-04-06
Brazil,1834.21,2023-04-06
Belgium,1792.53,2023-04-06
England,1792.43,2023-04-06
Netherlands,1731.23,2023-04-06
Croatia,1730.02,2023-04-06
Italy,1713.66,2023-04-06
Portugal,1707.22,2023-04-06
Spain,1682.85,2023-04-06
Morocco,1677.79,2023-04-06
Switzerland,1664.24,2023-04-06
USA,1653.77,2023-04-06
Germany,1647.42,2023-04-06
Mexico,1631.87,2023-04-06
Uruguay,1631.29,2023-04-06
Colombia,1617.08,2023-04-06
Senegal,1613.21,2023-04-06
Denmark,1594.53,2023-04-06
Japan,1588.59,2023-04-06
Peru,1561.2,2023-04-06
Sweden,1558.7,2023-04-06
Poland,1553.76,2023-04-06
IR Iran,1553.23,2023-04-06
Serbia,1541.52,2023-04-06
Wales,1538.95,2023-04-06
Korea Republic,1536.01,2023-04-06
Tunisia,1535.76,2023-04-06
Australia,1532.79,2023-04-06
Ukraine,1530.04,2023-04-06
Chile,1511.32,2023-04-06
Austria,1508.24,2023-04-06
Hungary,1504.24,2023-04-06
Algeria,1504.19,2023-04-06
Egypt,1500.67,2023-04-06
Scotland,1500.52,2023-04-06
Russia,1495.53,2023-04-06
Czechia,1495.04,2023-04-06
Costa Rica,1491.12,2023-04-06
Nigeria,1480.8,2023-04-06
Ecuador,1478.13,2023-04-06
Cameroon,1470.21,2023-04-06
Türkiye,1465.7,2023-04-06
Norway,1463.77,2023-04-06
Côte d'Ivoire,1449.95,2023-04-06
Romania,1444.58,2023-04-06
Canada,1442.66,2023-04-06
Paraguay,1440.65,2023-04-06
Republic of Ireland,1436.31,2023-04-06
Burkina Faso,1433.91,2023-04-06
Slovakia,1433.77,2023-04-06
Greece,1433.01,2023-04-06
Mali,1430.75,2023-04-06
Saudi Arabia,1421.46,2023-04-06
Venezuela,1410.47,2023-04-06
Finland,1405.31,2023-04-06
Bosnia and Herzegovina,1403.04,2023-04-06
Panama,1399.23,2023-04-06
Slovenia,1398.47,2023-04-06
Ghana,1396.01,2023-04-06
Qatar,1388.61,2023-04-06
Northern Ireland,1385.93,2023-04-06
Jamaica,1381.87,2023-04-06
Iceland,1369.03,2023-04-06
North Macedonia,1363.07,2023-04-06
South Africa,1350.08,2023-04-06
Iraq,1347.84,2023-04-06
Albania,1344.95,2023-04-06
Montenegro,1343.28,2023-04-06
Congo DR,1338.61,2023-04-06
Cabo Verde,1337.05,2023-04-06
United Arab Emirates,1336.28,2023-04-06
Oman,1333.54,2023-04-06
Uzbekistan,1318.36,2023-04-06
El Salvador,1318.3,2023-04-06
Bulgaria,1315.74,2023-04-06
Georgia,1311.51,2023-04-06
Israel,1307.41,2023-04-06
Guinea,1305.92,2023-04-06
Honduras,1300.38,2023-04-06
