country,points,date
Chad,930.22,2023-06-29
Macau,913.68,2023-06-29
Mongolia,908.71,2023-06-29
Bhutan,906.36,2023-06-29
Dominica,904.88,2023-06-29
American Samoa,900.27,2023-06-29
São Tomé and Príncipe,900.07,2023-06-29
Laos,899.58,2023-06-29
Cook Islands,899.33,2023-06-29
Samoa,894.26,2023-06-29
Brunei Darussalam,891.12,2023-06-29
Bangladesh,889.5,2023-06-29
Djibouti,889.2,2023-06-29
Tonga,861.81,2023-06-29
Timor-Leste,860.45,2023-06-29
Seychelles,860.13,2023-06-29
Cayman Islands,859.83,2023-06-29
Eritrea,855.56,2023-06-29
Somalia,854.72,2023-06-29
Bahamas,852.87,2023-06-29
Pakistan,852.13,2023-06-29
Gibraltar,851.64,2023-06-29
Aruba,850.88,2023-06-29
Liechtenstein,848.82,2023-06-29
Turks and Caicos Islands,839.39,2023-06-29
Guam,838.33,2023-06-29
Sri Lanka,825.25,2023-06-29
US Virgin Islands,816.59,2023-06-29
British Virgin Islands,804.11,2023-06-29
Anguilla,785.69,2023-06-29
San Marino,753.11,2023-06-29
