country,points,date
Argentina,1843.73,2023-07-21
France,1843.54,2023-07-21
Brazil,1828.27,2023-07-21
England,1797.39,2023-07-21
Belgium,1788.55,2023-07-21
Croatia,1742.55,2023-07-21
Netherlands,1731.23,2023-07-21
Italy,1726.58,2023-07-21
Portugal,1718.25,2023-07-21
Spain,1703.45,2023-07-21
USA,1674.48,2023-07-21
Mexico,1665.59,2023-07-21
Switzerland,1661.12,2023-07-21
Morocco,1655.5,2023-07-21
Germany,1636.32,2023-07-21
Uruguay,1633.13,2023-07-21
Colombia,1624.91,2023-07-21
Senegal,1612.61,2023-07-21
Denmark,1597.37,2023-07-21
Japan,1595.96,2023-07-21
Peru,1561.2,2023-07-21
IR Iran,1556.59,2023-07-21
Sweden,1547.11,2023-07-21
Ukraine,1541.25,2023-07-21
Serbia,1539.03,2023-07-21
Poland,1536.99,2023-07-21
Australia,1530.45,2023-07-21
Korea Republic,1529.3,2023-07-21
Austria,1528.06,2023-07-21
Scotland,1520.24,2023-07-21
Tunisia,1516.66,2023-07-21
Chile,1511.31,2023-07-21
Algeria,1511.23,2023-07-21
Egypt,1509.89,2023-07-21
Wales,1506.04,2023-07-21
Hungary,1504.57,2023-07-21
Czechia,1503.69,2023-07-21
Russia,1495.53,2023-07-21
Nigeria,1486.48,2023-07-21
Ecuador,1486.47,2023-07-21
Türkiye,1484.47,2023-07-21
Cameroon,1470.97,2023-07-21
Canada,1458.58,2023-07-21
Norway,1458.47,2023-07-21
Panama,1453.94,2023-07-21
Costa Rica,1453.56,2023-07-21
Slovakia,1447.05,2023-07-21
Romania,1443.98,2023-07-21
Paraguay,1442.64,2023-07-21
Greece,1441.06,2023-07-21
Mali,1438.01,2023-07-21
Côte d'Ivoire,1433.38,2023-07-21
Republic of Ireland,1426.26,2023-07-21
Saudi Arabia,1421.46,2023-07-21
Finland,1419.47,2023-07-21
Burkina Faso,1419.18,2023-07-21
Venezuela,1417.23,2023-07-21
Jamaica,1409.73,2023-07-21
Qatar,1395.57,2023-07-21
Ghana,1391.13,2023-07-21
Slovenia,1391.04,2023-07-21
Bosnia and Herzegovina,1381.1,2023-07-21
South Africa,1368.25,2023-07-21
Northern Ireland,1361.17,2023-07-21
Albania,1357.39,2023-07-21
Cabo Verde,1354.65,2023-07-21
Iceland,1352.98,2023-07-21
North Macedonia,1350.53,2023-07-21
Congo DR,1350.11,2023-07-21
Iraq,1345.21,2023-07-21
Montenegro,1343.45,2023-07-21
United Arab Emirates,1336.28,2023-07-21
Oman,1332.45,2023-07-21
Uzbekistan,1327.58,2023-07-21
El Salvador,1325.47,2023-07-21
Israel,1323.81,2023-07-21
Bulgaria,1315.48,2023-07-21
Georgia,1312.8,2023-07-21
Honduras,1309.23,2023-07-21
China PR,1304.78,2023-07-21
Guinea,1296.75,2023-07-21
Jordan,1296.26,2023-07-21
Bolivia,1295.09,2023-07-21
Zambia,1293.77,2023-07-21
Gabon,1285.25,2023-07-21
Bahrain,1282.05,2023-07-21
Haiti,1272.64,2023-07-21
Curaçao,1267.87,2023-07-21
Luxembourg,1262.72,2023-07-21
Armenia,1252.6,2023-07-21
Equatorial Guinea,1251.83,2023-07-21
Uganda,1250.32,2023-07-21
Benin,1248.13,2023-07-21
Syria,1241.62,2023-07-21
Vietnam,1238.23,2023-07-21
Palestine,1233.02,2023-07-21
Kyrgyz Republic,1224.8,2023-07-21
Belarus,1212.28,2023-07-21
India,1208.69,2023-07-21
Lebanon,1205.77,2023-07-21
Mauritania,1205.18,2023-07-21
Trinidad and Tobago,1199.74,2023-07-21
Aotearoa New Zealand,1199.04,2023-07-21
Kazakhstan,1198.24,2023-07-21
Kenya,1191.07,2023-07-21
Congo,1190.63,2023-07-21
Guatemala,1186.71,2023-07-21
Madagascar,1186.09,2023-07-21
Kosovo,1179.69,2023-07-21
Tajikistan,1179.54,2023-07-21
Estonia,1179.3,2023-07-21
Guinea-Bissau,1178.93,2023-07-21
Thailand,1174.37,2023-07-21
Namibia,1172.41,2023-07-21
Korea DPR,1169.96,2023-07-21
Angola,1169.07,2023-07-21
Mozambique,1164.25,2023-07-21
Cyprus,1163.73,2023-07-21
The Gambia,1159.82,2023-07-21
Sierra Leone,1156.11,2023-07-21
Azerbaijan,1143.22,2023-07-21
Togo,1140.88,2023-07-21
Malawi,1140.65,2023-07-21
Tanzania,1138.79,2023-07-21
Zimbabwe,1138.56,2023-07-21
Central African Republic,1133.5,2023-07-21
Libya,1130.75,2023-07-21
Niger,1129.67,2023-07-21
Faroe Islands,1126.3,2023-07-21
Comoros,1119.99,2023-07-21
Sudan,1116.21,2023-07-21
Antigua and Barbuda,1107.51,2023-07-21
Solomon Islands,1097.61,2023-07-21
Latvia,1096.19,2023-07-21
Philippines,1095.66,2023-07-21
Malaysia,1091.57,2023-07-21
Kuwait,1090.42,2023-07-21
Turkmenistan,1089.77,2023-07-21
Rwanda,1089.46,2023-07-21
Burundi,1085.06,2023-07-21
Nicaragua,1076.11,2023-07-21
Ethiopia,1074.47,2023-07-21
Suriname,1073.57,2023-07-21
Lithuania,1069.97,2023-07-21
St Kitts and Nevis,1066.81,2023-07-21
Eswatini,1058.19,2023-07-21
Botswana,1054.31,2023-07-21
Liberia,1049.94,2023-07-21
"Hong Kong, China",1049.74,2023-07-21
Indonesia,1047.46,2023-07-21
Lesotho,1038.68,2023-07-21
Dominican Republic,1036.74,2023-07-21
Chinese Taipei,1028.18,2023-07-21
Andorra,1022.3,2023-07-21
Maldives,1021.85,2023-07-21
