country,points,date
Argentina,1855.2,2023-12-21
France,1845.44,2023-12-21
England,1800.05,2023-12-21
Belgium,1798.46,2023-12-21
Brazil,1784.09,2023-12-21
Netherlands,1745.48,2023-12-21
Portugal,1745.06,2023-12-21
Spain,1732.64,2023-12-21
Italy,1718.82,2023-12-21
Croatia,1717.57,2023-12-21
Uruguay,1665.99,2023-12-21
USA,1665.27,2023-12-21
Morocco,1661.69,2023-12-21
Colombia,1655.29,2023-12-21
Mexico,1652.7,2023-12-21
Germany,1631.22,2023-12-21
Japan,1620.19,2023-12-21
Switzerland,1613.44,2023-12-21
Denmark,1601.31,2023-12-21
Senegal,1594.31,2023-12-21
IR Iran,1565.08,2023-12-21
Ukraine,1553.35,2023-12-21
Korea Republic,1550.65,2023-12-21
Austria,1546.1,2023-12-21
Australia,1539.22,2023-12-21
Sweden,1530.19,2023-12-21
Hungary,1525.13,2023-12-21
Tunisia,1523.23,2023-12-21
Wales,1521.88,2023-12-21
Algeria,1520.26,2023-12-21
Poland,1520.24,2023-12-21
Ecuador,1519.2,2023-12-21
Egypt,1518.91,2023-12-21
Serbia,1517.43,2023-12-21
Peru,1512.68,2023-12-21
Scotland,1506.89,2023-12-21
Türkiye,1505.28,2023-12-21
Russia,1498.84,2023-12-21
Czechia,1494.04,2023-12-21
Chile,1489.82,2023-12-21
Panama,1475.62,2023-12-21
Nigeria,1474.44,2023-12-21
Romania,1472.73,2023-12-21
Norway,1472.36,2023-12-21
Slovakia,1465.73,2023-12-21
Cameroon,1463.06,2023-12-21
Greece,1453.95,2023-12-21
Canada,1453.76,2023-12-21
Côte d'Ivoire,1447.65,2023-12-21
Venezuela,1447.2,2023-12-21
Mali,1445.6,2023-12-21
Costa Rica,1437.57,2023-12-21
Paraguay,1430.73,2023-12-21
Slovenia,1427.84,2023-12-21
Jamaica,1421.54,2023-12-21
Saudi Arabia,1421.06,2023-12-21
Burkina Faso,1411.01,2023-12-21
Qatar,1407.3,2023-12-21
Finland,1401.31,2023-12-21
Republic of Ireland,1399.6,2023-12-21
Ghana,1384.19,2023-12-21
Albania,1382.69,2023-12-21
Iraq,1365.98,2023-12-21
United Arab Emirates,1364.46,2023-12-21
North Macedonia,1362.17,2023-12-21
South Africa,1357.08,2023-12-21
Congo DR,1356.66,2023-12-21
Uzbekistan,1345.26,2023-12-21
Bosnia and Herzegovina,1343.32,2023-12-21
Montenegro,1342.64,2023-12-21
Iceland,1338.39,2023-12-21
Northern Ireland,1333.17,2023-12-21
Cabo Verde,1329.8,2023-12-21
Oman,1324.89,2023-12-21
Israel,1323.43,2023-12-21
Honduras,1313.8,2023-12-21
Georgia,1312.45,2023-12-21
El Salvador,1306.14,2023-12-21
China PR,1299.49,2023-12-21
Guinea,1290.01,2023-12-21
Bulgaria,1289.9,2023-12-21
Gabon,1289.52,2023-12-21
Luxembourg,1285.41,2023-12-21
Zambia,1284.56,2023-12-21
Bolivia,1284.55,2023-12-21
Bahrain,1277.29,2023-12-21
Jordan,1272.63,2023-12-21
Equatorial Guinea,1268.43,2023-12-21
Haiti,1262.5,2023-12-21
Curaçao,1262.48,2023-12-21
Syria,1245.27,2023-12-21
Uganda,1245.08,2023-12-21
Armenia,1237.15,2023-12-21
Vietnam,1235.58,2023-12-21
Belarus,1232.8,2023-12-21
Trinidad and Tobago,1228.05,2023-12-21
Benin,1225.1,2023-12-21
Kyrgyz Republic,1224.14,2023-12-21
Palestine,1217.6,2023-12-21
Kazakhstan,1215.16,2023-12-21
Kosovo,1202.77,2023-12-21
India,1200.8,2023-12-21
Guinea-Bissau,1197.83,2023-12-21
Aotearoa New Zealand,1197.47,2023-12-21
Mauritania,1195.25,2023-12-21
Tajikistan,1195.07,2023-12-21
Lebanon,1192.58,2023-12-21
Guatemala,1189.98,2023-12-21
Madagascar,1187.63,2023-12-21
Kenya,1181.92,2023-12-21
Mozambique,1180.72,2023-12-21
Congo,1179.8,2023-12-21
Thailand,1176.75,2023-12-21
Azerbaijan,1174.22,2023-12-21
Namibia,1168.38,2023-12-21
Korea DPR,1168.12,2023-12-21
Angola,1168.05,2023-12-21
Togo,1165.74,2023-12-21
Comoros,1156.45,2023-12-21
Libya,1155.23,2023-12-21
Tanzania,1155.19,2023-12-21
Estonia,1149.7,2023-12-21
Malawi,1149.4,2023-12-21
Zimbabwe,1144.56,2023-12-21
Cyprus,1143.42,2023-12-21
The Gambia,1140.06,2023-12-21
Sierra Leone,1138.53,2023-12-21
Sudan,1128.74,2023-12-21
Niger,1127.75,2023-12-21
Malaysia,1122.87,2023-12-21
Central African Republic,1121.34,2023-12-21
Solomon Islands,1113.57,2023-12-21
Rwanda,1107.04,2023-12-21
Nicaragua,1104.26,2023-12-21
Faroe Islands,1102.1,2023-12-21
Kuwait,1098.07,2023-12-21
Latvia,1097.84,2023-12-21
Lithuania,1086.93,2023-12-21
Burundi,1086.62,2023-12-21
Philippines,1086.17,2023-12-21
Turkmenistan,1078.25,2023-12-21
Antigua and Barbuda,1072.66,2023-12-21
Suriname,1071.85,2023-12-21
Ethiopia,1068.79,2023-12-21
Botswana,1064.5,2023-12-21
Indonesia,1064.01,2023-12-21
St Kitts and Nevis,1057.05,2023-12-21
Lesotho,1047.27,2023-12-21
Eswatini,1045.88,2023-12-21
"Hong Kong, China",1042.93,2023-12-21
Dominican Republic,1040.77,2023-12-21
Yemen,1027.94,2023-12-21
Liberia,1024.11,2023-12-21
Chinese Taipei,1023.93,2023-12-21
Moldova,1022.6,2023-12-21
Singapore,1020.5,2023-12-21
Guyana,1018.14,2023-12-21
Afghanistan,1017.68,2023-12-21
New Caledonia,1008.92,2023-12-21
Puerto Rico,1007.19,2023-12-21
Maldives,1003.48,2023-12-21
Myanmar,1000.46,2023-12-21
Tahiti,999.48,2023-12-21
Andorra,998,2023-12-21
Papua New Guinea,990.61,2023-12-21
South Sudan,989.29,2023-12-21
St Lucia,988.67,2023-12-21
Fiji,981.26,2023-12-21
Cuba,980.65,2023-12-21
Vanuatu,980.33,2023-12-21
Bermuda,972.36,2023-12-21
Malta,967.29,2023-12-21
St Vincent and the Grenadines,953.47,2023-12-21
Grenada,950.99,2023-12-21
Nepal,948.05,2023-12-21
Montserrat,946.08,2023-12-21
Mauritius,944.95,2023-12-21
Barbados,943.8,2023-12-21
Cambodia,931.47,2023-12-21
Dominica,922.25,2023-12-21
Chad,920.37,2023-12-21
Belize,918.68,2023-12-21
Bangladesh,916.75,2023-12-21
Bhutan,913.02,2023-12-21
Cook Islands,897.3,2023-12-21
Samoa,896.78,2023-12-21
Macau,896.62,2023-12-21
American Samoa,890.97,2023-12-21
Laos,889.62,2023-12-21
Mongolia,889.16,2023-12-21
São Tomé and Príncipe,888.94,2023-12-21
Djibouti,881.18,2023-12-21
Aruba,879.32,2023-12-21
Brunei Darussalam,870.63,2023-12-21
Pakistan,856.54,2023-12-21
Tonga,856.18,2023-12-21
Cayman Islands,851.19,2023-12-21
Somalia,845.66,2023-12-21
Seychelles,845.53,2023-12-21
Timor-Leste,843.4,2023-12-21
Gibraltar,840.8,2023-12-21
Bahamas,835.81,2023-12-21
Liechtenstein,833.01,2023-12-21
Sri Lanka,822.03,2023-12-21
Guam,821.91,2023-12-21
Turks and Caicos Islands,818.57,2023-12-21
British Virgin Islands,807.57,2023-12-21
US Virgin Islands,796.78,2023-12-21
Anguilla,785.69,2023-12-21
San Marino,741.61,2023-12-21
