country,points,date
Brazil,1832.69,2022-03-31
Belgium,1827,2022-03-31
France,1789.85,2022-03-31
Argentina,1765.13,2022-03-31
England,1761.71,2022-03-31
Italy,1723.31,2022-03-31
Spain,1709.19,2022-03-31
Portugal,1674.78,2022-03-31
Mexico,1658.82,2022-03-31
Netherlands,1658.66,2022-03-31
Denmark,1653.6,2022-03-31
Germany,1650.53,2022-03-31
Uruguay,1635.73,2022-03-31
Switzerland,1635.32,2022-03-31
USA,1633.72,2022-03-31
Croatia,1621.11,2022-03-31
Colombia,1600.52,2022-03-31
Wales,1588.08,2022-03-31
Sweden,1584.77,2022-03-31
Senegal,1584.16,2022-03-31
IR Iran,1564.49,2022-03-31
Peru,1562.32,2022-03-31
Japan,1553.44,2022-03-31
Morocco,1551.88,2022-03-31
Serbia,1547.53,2022-03-31
Poland,1544.2,2022-03-31
Ukraine,1535.08,2022-03-31
Chile,1526.4,2022-03-31
Korea Republic,1519.54,2022-03-31
Nigeria,1504.01,2022-03-31
Costa Rica,1503.09,2022-03-31
Egypt,1500.67,2022-03-31
Czech Republic,1500.62,2022-03-31
Austria,1500.37,2022-03-31
Tunisia,1499.8,2022-03-31
Russia,1493.42,2022-03-31
Cameroon,1480.48,2022-03-31
Canada,1479,2022-03-31
Scotland,1472.66,2022-03-31
Hungary,1466.08,2022-03-31
Norway,1463.5,2022-03-31
Australia,1462.29,2022-03-31
Turkey,1461.81,2022-03-31
Algeria,1461.26,2022-03-31
Slovakia,1454.98,2022-03-31
Ecuador,1452.63,2022-03-31
Republic of Ireland,1449.48,2022-03-31
Romania,1446.54,2022-03-31
Saudi Arabia,1444.69,2022-03-31
Paraguay,1443.3,2022-03-31
Qatar,1441.41,2022-03-31
Mali,1436.62,2022-03-31
Côte d'Ivoire,1435.28,2022-03-31
Northern Ireland,1423.55,2022-03-31
Greece,1421.43,2022-03-31
Burkina Faso,1409.61,2022-03-31
Finland,1406.87,2022-03-31
Venezuela,1398.14,2022-03-31
Bosnia and Herzegovina,1388.63,2022-03-31
Ghana,1387.36,2022-03-31
Panama,1382.79,2022-03-31
North Macedonia,1381.07,2022-03-31
Iceland,1380.85,2022-03-31
Jamaica,1378.75,2022-03-31
Slovenia,1378.23,2022-03-31
Albania,1371.86,2022-03-31
Congo DR,1365.07,2022-03-31
United Arab Emirates,1356.99,2022-03-31
South Africa,1356.01,2022-03-31
Montenegro,1342.79,2022-03-31
Cabo Verde,1339.5,2022-03-31
Iraq,1338.91,2022-03-31
Bulgaria,1338.78,2022-03-31
El Salvador,1331.65,2022-03-31
Oman,1324.16,2022-03-31
Israel,1305.92,2022-03-31
China PR,1304.02,2022-03-31
Bolivia,1298.81,2022-03-31
Curaçao,1298.39,2022-03-31
Guinea,1293.21,2022-03-31
Gabon,1290.65,2022-03-31
Honduras,1289.47,2022-03-31
Uzbekistan,1286.55,2022-03-31
Benin,1284.13,2022-03-31
Georgia,1276.31,2022-03-31
Uganda,1275.5,2022-03-31
Zambia,1267.04,2022-03-31
Syria,1265.03,2022-03-31
Bahrain,1262.55,2022-03-31
Haiti,1261.86,2022-03-31
Jordan,1259.84,2022-03-31
Armenia,1245.13,2022-03-31
Belarus,1243.2,2022-03-31
Luxembourg,1229.6,2022-03-31
Kyrgyz Republic,1218.48,2022-03-31
Vietnam,1215.38,2022-03-31
Lebanon,1211.71,2022-03-31
Congo,1211.33,2022-03-31
Equatorial Guinea,1210.07,2022-03-31
Palestine,1208.9,2022-03-31
New Zealand,1206.07,2022-03-31
Madagascar,1205.61,2022-03-31
Trinidad and Tobago,1203.78,2022-03-31
Kenya,1202.26,2022-03-31
Cyprus,1186.09,2022-03-31
India,1174.04,2022-03-31
Kosovo,1173.9,2022-03-31
Sierra Leone,1173.89,2022-03-31
Korea DPR,1169.96,2022-03-31
Estonia,1169.06,2022-03-31
Thailand,1167.68,2022-03-31
Namibia,1162.93,2022-03-31
Mauritania,1162.48,2022-03-31
Tajikistan,1159.42,2022-03-31
Guinea-Bissau,1158.62,2022-03-31
Niger,1153.23,2022-03-31
Libya,1149.63,2022-03-31
Guatemala,1147.85,2022-03-31
Mozambique,1146.09,2022-03-31
Malawi,1145.08,2022-03-31
Togo,1140,2022-03-31
Zimbabwe,1138.56,2022-03-31
Gambia,1138.19,2022-03-31
Faroe Islands,1137.4,2022-03-31
Kazakhstan,1134.77,2022-03-31
Angola,1131.72,2022-03-31
Antigua and Barbuda,1131.07,2022-03-31
Comoros,1130.77,2022-03-31
Azerbaijan,1127.05,2022-03-31
Tanzania,1123.79,2022-03-31
Central African Republic,1122.08,2022-03-31
Sudan,1118.4,2022-03-31
Philippines,1117.89,2022-03-31
Turkmenistan,1117.6,2022-03-31
Latvia,1105.02,2022-03-31
Rwanda,1097.16,2022-03-31
Solomon Islands,1092.56,2022-03-31
Lithuania,1092.04,2022-03-31
Burundi,1080.62,2022-03-31
Ethiopia,1076.67,2022-03-31
Suriname,1073.39,2022-03-31
St. Kitts and Nevis,1072.3,2022-03-31
Eswatini,1070.46,2022-03-31
Nicaragua,1062.21,2022-03-31
Lesotho,1061.72,2022-03-31
Kuwait,1059.94,2022-03-31
Hong Kong,1053.39,2022-03-31
Botswana,1051.59,2022-03-31
Liberia,1050.5,2022-03-31
Afghanistan,1049.77,2022-03-31
Yemen,1046.26,2022-03-31
Myanmar,1044.56,2022-03-31
Andorra,1040.13,2022-03-31
Malaysia,1035.06,2022-03-31
Dominican Republic,1029.42,2022-03-31
Maldives,1025.5,2022-03-31
Chinese Taipei,1017.78,2022-03-31
Singapore,1012.27,2022-03-31
Indonesia,1001.61,2022-03-31
New Caledonia,999.7,2022-03-31
South Sudan,998.45,2022-03-31
Papua New Guinea,997.6,2022-03-31
Barbados,995.94,2022-03-31
Tahiti,995.11,2022-03-31
Fiji,993.37,2022-03-31
Vanuatu,990.55,2022-03-31
Bermuda,982.43,2022-03-31
Nepal,978.86,2022-03-31
Malta,971.56,2022-03-31
Grenada,968.49,2022-03-31
Cambodia,966.61,2022-03-31
Puerto Rico,962.77,2022-03-31
Belize,962.21,2022-03-31
Guyana,961.07,2022-03-31
St. Vincent and the Grenadines,960.71,2022-03-31
St. Lucia,953.45,2022-03-31
Cuba,950.91,2022-03-31
Montserrat,950.71,2022-03-31
Mauritius,940.47,2022-03-31
Moldova,932.79,2022-03-31
Chad,931.98,2022-03-31
Macau,922.1,2022-03-31
São Tomé and Príncipe,917.62,2022-03-31
Dominica,916.72,2022-03-31
Laos,914.66,2022-03-31
Mongolia,911.49,2022-03-31
Bhutan,910.96,2022-03-31
Bangladesh,903.98,2022-03-31
American Samoa,900.27,2022-03-31
Cook Islands,899.33,2022-03-31
Brunei Darussalam,898.96,2022-03-31
Liechtenstein,895.08,2022-03-31
Samoa,894.26,2022-03-31
Djibouti,875.98,2022-03-31
Cayman Islands,873.64,2022-03-31
Seychelles,866.94,2022-03-31
Pakistan,866.81,2022-03-31
Timor-Leste,865.47,2022-03-31
Tonga,861.81,2022-03-31
Aruba,859.97,2022-03-31
Bahamas,858.5,2022-03-31
Somalia,857.39,2022-03-31
Gibraltar,857.2,2022-03-31
Eritrea,855.56,2022-03-31
Sri Lanka,842.93,2022-03-31
Turks and Caicos Islands,839.84,2022-03-31
Guam,838.33,2022-03-31
US Virgin Islands,816.13,2022-03-31
British Virgin Islands,812.94,2022-03-31
Anguilla,792.34,2022-03-31
San Marino,776.97,2022-03-31
