country,points,date
Belgium,1828.45,2022-02-10
Brazil,1823.42,2022-02-10
France,1786.15,2022-02-10
Argentina,1766.99,2022-02-10
England,1755.52,2022-02-10
Italy,1740.77,2022-02-10
Spain,1704.75,2022-02-10
Portugal,1660.25,2022-02-10
Denmark,1654.54,2022-02-10
Netherlands,1653.73,2022-02-10
Germany,1648.33,2022-02-10
Mexico,1647.9,2022-02-10
USA,1643.34,2022-02-10
Switzerland,1642.83,2022-02-10
Croatia,1620.74,2022-02-10
Uruguay,1614.05,2022-02-10
Sweden,1588.26,2022-02-10
Senegal,1587.78,2022-02-10
Colombia,1585.89,2022-02-10
Wales,1578.01,2022-02-10
IR Iran,1572.89,2022-02-10
Peru,1563.45,2022-02-10
Japan,1549.82,2022-02-10
Morocco,1547.42,2022-02-10
Serbia,1547.38,2022-02-10
Chile,1543.16,2022-02-10
Ukraine,1535.08,2022-02-10
Poland,1530.62,2022-02-10
Korea Republic,1522.85,2022-02-10
Austria,1511.56,2022-02-10
Czech Republic,1510.42,2022-02-10
Nigeria,1509.91,2022-02-10
Canada,1497.82,2022-02-10
Egypt,1497.05,2022-02-10
Russia,1493.42,2022-02-10
Tunisia,1489.92,2022-02-10
Australia,1486.86,2022-02-10
Cameroon,1480.82,2022-02-10
Turkey,1472.72,2022-02-10
Scotland,1471.82,2022-02-10
Hungary,1465.62,2022-02-10
Costa Rica,1464.06,2022-02-10
Algeria,1460.93,2022-02-10
Ecuador,1458.63,2022-02-10
Norway,1455.43,2022-02-10
Slovakia,1455.36,2022-02-10
Romania,1453.18,2022-02-10
Mali,1446.49,2022-02-10
Republic of Ireland,1444.29,2022-02-10
Paraguay,1440.53,2022-02-10
Côte d'Ivoire,1439.62,2022-02-10
Qatar,1437.91,2022-02-10
Saudi Arabia,1433.95,2022-02-10
Northern Ireland,1424.97,2022-02-10
Greece,1421.99,2022-02-10
Burkina Faso,1418.58,2022-02-10
Finland,1411.77,2022-02-10
Venezuela,1411.45,2022-02-10
Bosnia and Herzegovina,1391.19,2022-02-10
Iceland,1382.81,2022-02-10
Ghana,1381.45,2022-02-10
Jamaica,1378.62,2022-02-10
Panama,1375.56,2022-02-10
Slovenia,1375.42,2022-02-10
Albania,1374.98,2022-02-10
Congo DR,1369.53,2022-02-10
North Macedonia,1367.23,2022-02-10
South Africa,1358.24,2022-02-10
United Arab Emirates,1353.1,2022-02-10
El Salvador,1346.04,2022-02-10
Bulgaria,1345.47,2022-02-10
Montenegro,1342.89,2022-02-10
Cabo Verde,1336.88,2022-02-10
Iraq,1325.44,2022-02-10
China PR,1313.81,2022-02-10
Bolivia,1308.12,2022-02-10
Israel,1306.7,2022-02-10
Honduras,1303.96,2022-02-10
Oman,1301,2022-02-10
Curaçao,1298.39,2022-02-10
Guinea,1292.58,2022-02-10
Gabon,1290.65,2022-02-10
Benin,1282.53,2022-02-10
Uganda,1279.18,2022-02-10
Uzbekistan,1277.02,2022-02-10
Georgia,1269.24,2022-02-10
Haiti,1268.05,2022-02-10
Zambia,1264.64,2022-02-10
Bahrain,1263.61,2022-02-10
Jordan,1259.84,2022-02-10
Syria,1251.22,2022-02-10
Armenia,1242.24,2022-02-10
Luxembourg,1236.45,2022-02-10
Belarus,1233.43,2022-02-10
Lebanon,1228.97,2022-02-10
Kyrgyz Republic,1228.69,2022-02-10
Congo,1221.4,2022-02-10
Vietnam,1218.55,2022-02-10
Equatorial Guinea,1210.07,2022-02-10
Palestine,1208.9,2022-02-10
Trinidad and Tobago,1205.99,2022-02-10
Madagascar,1205.61,2022-02-10
Kenya,1202.26,2022-02-10
India,1182.75,2022-02-10
Cyprus,1178.65,2022-02-10
Estonia,1176.5,2022-02-10
Sierra Leone,1173.81,2022-02-10
Korea DPR,1169.96,2022-02-10
Kosovo,1163.05,2022-02-10
Namibia,1162.93,2022-02-10
New Zealand,1161.66,2022-02-10
Thailand,1160.14,2022-02-10
Guinea-Bissau,1158.62,2022-02-10
Niger,1158.39,2022-02-10
Tajikistan,1152.56,2022-02-10
Mauritania,1152.52,2022-02-10
Mozambique,1151,2022-02-10
Libya,1149.51,2022-02-10
Malawi,1145.08,2022-02-10
Kazakhstan,1140.71,2022-02-10
Azerbaijan,1139.02,2022-02-10
Zimbabwe,1138.56,2022-02-10
Guatemala,1138.4,2022-02-10
Faroe Islands,1136.99,2022-02-10
Gambia,1135.18,2022-02-10
Togo,1133.24,2022-02-10
Angola,1131.72,2022-02-10
Antigua and Barbuda,1131.07,2022-02-10
Philippines,1129.91,2022-02-10
Central African Republic,1127.2,2022-02-10
Comoros,1126.2,2022-02-10
Tanzania,1118.76,2022-02-10
Sudan,1118.31,2022-02-10
Turkmenistan,1117.6,2022-02-10
Latvia,1100.03,2022-02-10
Rwanda,1097.16,2022-02-10
Lithuania,1091.77,2022-02-10
Ethiopia,1081.24,2022-02-10
St. Kitts and Nevis,1077.76,2022-02-10
Suriname,1077.57,2022-02-10
Burundi,1075.82,2022-02-10
Solomon Islands,1072.78,2022-02-10
Kuwait,1065.56,2022-02-10
Nicaragua,1062.21,2022-02-10
Liberia,1058.28,2022-02-10
Lesotho,1057.62,2022-02-10
Eswatini,1054.14,2022-02-10
Hong Kong,1053.39,2022-02-10
Botswana,1051.59,2022-02-10
Afghanistan,1049.77,2022-02-10
Yemen,1046.26,2022-02-10
Myanmar,1044.56,2022-02-10
New Caledonia,1035.12,2022-02-10
Malaysia,1034.53,2022-02-10
Andorra,1030.28,2022-02-10
Dominican Republic,1029.42,2022-02-10
Maldives,1021.58,2022-02-10
Chinese Taipei,1017.78,2022-02-10
Tahiti,1014.27,2022-02-10
Indonesia,1001.61,2022-02-10
Singapore,1000.78,2022-02-10
Fiji,996.27,2022-02-10
Barbados,995.94,2022-02-10
Vanuatu,995.62,2022-02-10
Papua New Guinea,990.55,2022-02-10
