country,points,date
Belgium,1832.33,2021-10-21
Brazil,1820.36,2021-10-21
France,1779.24,2021-10-21
Italy,1750.52,2021-10-21
England,1750.16,2021-10-21
Argentina,1738.79,2021-10-21
Spain,1687.66,2021-10-21
Portugal,1681.73,2021-10-21
Mexico,1672.92,2021-10-21
Denmark,1668.98,2021-10-21
Netherlands,1652.01,2021-10-21
Germany,1642.47,2021-10-21
USA,1639.42,2021-10-21
Switzerland,1633.8,2021-10-21
Uruguay,1625.67,2021-10-21
Colombia,1618.76,2021-10-21
Sweden,1618.69,2021-10-21
Croatia,1608.84,2021-10-21
Wales,1566.77,2021-10-21
Senegal,1564.95,2021-10-21
Chile,1546.26,2021-10-21
IR Iran,1545.02,2021-10-21
Poland,1542.2,2021-10-21
Peru,1534.06,2021-10-21
Serbia,1527.34,2021-10-21
Ukraine,1527.12,2021-10-21
Tunisia,1525.3,2021-10-21
Japan,1517.69,2021-10-21
Morocco,1513,2021-10-21
Algeria,1509.04,2021-10-21
Czech Republic,1503.23,2021-10-21
Austria,1501.09,2021-10-21
Russia,1497.45,2021-10-21
Australia,1489.86,2021-10-21
Korea Republic,1489.1,2021-10-21
Nigeria,1478.18,2021-10-21
Norway,1471.62,2021-10-21
Paraguay,1461.28,2021-10-21
Turkey,1460.53,2021-10-21
Slovakia,1454.16,2021-10-21
Romania,1451.76,2021-10-21
Scotland,1451.37,2021-10-21
Hungary,1449.08,2021-10-21
Egypt,1447.85,2021-10-21
Costa Rica,1439.61,2021-10-21
Qatar,1437.73,2021-10-21
Greece,1434.83,2021-10-21
Canada,1432.34,2021-10-21
Saudi Arabia,1432.21,2021-10-21
Venezuela,1431.51,2021-10-21
Republic of Ireland,1430.59,2021-10-21
Ghana,1424.87,2021-10-21
Côte d'Ivoire,1424.12,2021-10-21
Cameroon,1418.21,2021-10-21
Ecuador,1416.93,2021-10-21
Bosnia and Herzegovina,1414.92,2021-10-21
Mali,1412.39,2021-10-21
Northern Ireland,1412.21,2021-10-21
Jamaica,1407.72,2021-10-21
Finland,1403.96,2021-10-21
Burkina Faso,1400.56,2021-10-21
Iceland,1397.49,2021-10-21
Albania,1374.33,2021-10-21
Slovenia,1364.96,2021-10-21
El Salvador,1364.7,2021-10-21
South Africa,1361.97,2021-10-21
Congo DR,1357.61,2021-10-21
Honduras,1355.17,2021-10-21
Panama,1354.42,2021-10-21
Bulgaria,1350.11,2021-10-21
United Arab Emirates,1349.42,2021-10-21
Iraq,1346.2,2021-10-21
Montenegro,1346.19,2021-10-21
North Macedonia,1343.19,2021-10-21
China PR,1334.2,2021-10-21
Cabo Verde,1327.66,2021-10-21
Oman,1314.36,2021-10-21
Bolivia,1309.75,2021-10-21
Guinea,1309.15,2021-10-21
Israel,1305.76,2021-10-21
Curaçao,1298.39,2021-10-21
Uganda,1297.43,2021-10-21
Benin,1282.34,2021-10-21
Uzbekistan,1279.73,2021-10-21
Syria,1274.72,2021-10-21
Haiti,1268.05,2021-10-21
Zambia,1260.8,2021-10-21
Gabon,1260.39,2021-10-21
Armenia,1257.17,2021-10-21
Jordan,1254.12,2021-10-21
Bahrain,1250.91,2021-10-21
Lebanon,1250.08,2021-10-21
Georgia,1243.88,2021-10-21
Luxembourg,1234.13,2021-10-21
Belarus,1233.59,2021-10-21
Kyrgyz Republic,1230.6,2021-10-21
Congo,1228.16,2021-10-21
Vietnam,1222.9,2021-10-21
Madagascar,1218.76,2021-10-21
Palestine,1211.32,2021-10-21
Trinidad and Tobago,1207.94,2021-10-21
Mauritania,1202.17,2021-10-21
Cyprus,1192.92,2021-10-21
Kenya,1189.24,2021-10-21
Estonia,1184.03,2021-10-21
India,1182.75,2021-10-21
Sierra Leone,1179.76,2021-10-21
Namibia,1175.54,2021-10-21
Guinea-Bissau,1175.03,2021-10-21
Korea DPR,1169.96,2021-10-21
New Zealand,1161.83,2021-10-21
Libya,1161.71,2021-10-21
Kosovo,1161.19,2021-10-21
Tajikistan,1157.77,2021-10-21
Central African Republic,1150.45,2021-10-21
Faroe Islands,1148.94,2021-10-21
Thailand,1148.63,2021-10-21
Zimbabwe,1147.34,2021-10-21
Azerbaijan,1146.87,2021-10-21
Malawi,1146.25,2021-10-21
Niger,1145.75,2021-10-21
Mozambique,1144.85,2021-10-21
Sudan,1139.67,2021-10-21
Guatemala,1138.4,2021-10-21
Kazakhstan,1137.46,2021-10-21
Equatorial Guinea,1135.52,2021-10-21
Philippines,1131.93,2021-10-21
Antigua and Barbuda,1131.07,2021-10-21
Angola,1124.33,2021-10-21
Tanzania,1123.84,2021-10-21
Turkmenistan,1117.6,2021-10-21
Comoros,1112,2021-10-21
Rwanda,1111.79,2021-10-21
Togo,1110.59,2021-10-21
Lithuania,1097.8,2021-10-21
Latvia,1084.88,2021-10-21
Ethiopia,1079.37,2021-10-21
St. Kitts and Nevis,1077.76,2021-10-21
Suriname,1077.57,2021-10-21
Solomon Islands,1072.78,2021-10-21
Burundi,1070.95,2021-10-21
Kuwait,1065.31,2021-10-21
Nicaragua,1064.32,2021-10-21
Lesotho,1057.62,2021-10-21
Myanmar,1057.44,2021-10-21
Eswatini,1054.14,2021-10-21
Gambia,1053.72,2021-10-21
Hong Kong,1053.39,2021-10-21
Botswana,1051.59,2021-10-21
Liberia,1047.46,2021-10-21
Yemen,1046.26,2021-10-21
Afghanistan,1045.34,2021-10-21
Andorra,1038.88,2021-10-21
New Caledonia,1035.12,2021-10-21
Malaysia,1034.87,2021-10-21
Maldives,1030.92,2021-10-21
Dominican Republic,1029.42,2021-10-21
Chinese Taipei,1017.78,2021-10-21
Tahiti,1014.27,2021-10-21
Singapore,1000.35,2021-10-21
Fiji,996.27,2021-10-21
Barbados,995.94,2021-10-21
Vanuatu,995.62,2021-10-21
Papua New Guinea,990.55,2021-10-21
Indonesia,985.61,2021-10-21
Bermuda,982.43,2021-10-21
South Sudan,980.25,2021-10-21
Grenada,974.03,2021-10-21
Nepal,972.45,2021-10-21
Cambodia,970.42,2021-10-21
Belize,967.42,2021-10-21
Mauritius,964.94,2021-10-21
Malta,964.21,2021-10-21
Puerto Rico,962.77,2021-10-21
St. Vincent and the Grenadines,960.71,2021-10-21
Guyana,958.87,2021-10-21
St. Lucia,953.45,2021-10-21
Montserrat,950.71,2021-10-21
Cuba,946.86,2021-10-21
Chad,935,2021-10-21
Moldova,933.81,2021-10-21
Macau,922.1,2021-10-21
Dominica,916.72,2021-10-21
Mongolia,916.68,2021-10-21
Laos,912.07,2021-10-21
Bhutan,910.96,2021-10-21
Bangladesh,907.84,2021-10-21
Djibouti,905.83,2021-10-21
Brunei Darussalam,903.9,2021-10-21
Liechtenstein,903.63,2021-10-21
São Tomé and Príncipe,903.31,2021-10-21
American Samoa,900.27,2021-10-21
Samoa,894.26,2021-10-21
Timor-Leste,879.43,2021-10-21
Somalia,873.71,2021-10-21
Cayman Islands,873.64,2021-10-21
Pakistan,866.81,2021-10-21
Gibraltar,863.17,2021-10-21
Seychelles,862.84,2021-10-21
Tonga,861.81,2021-10-21
Aruba,859.97,2021-10-21
Bahamas,858.5,2021-10-21
Eritrea,855.56,2021-10-21
Sri Lanka,840.11,2021-10-21
Turks and Caicos Islands,839.84,2021-10-21
Guam,838.33,2021-10-21
US Virgin Islands,816.13,2021-10-21
British Virgin Islands,812.94,2021-10-21
Anguilla,792.34,2021-10-21
San Marino,782.71,2021-10-21
