country,points,date
Argentina,1855.2,2023-11-30
France,1845.44,2023-11-30
England,1800.05,2023-11-30
Belgium,1798.46,2023-11-30
Brazil,1784.09,2023-11-30
Netherlands,1745.48,2023-11-30
Portugal,1745.06,2023-11-30
Spain,1732.64,2023-11-30
Italy,1718.82,2023-11-30
Croatia,1717.57,2023-11-30
Uruguay,1665.99,2023-11-30
USA,1665.27,2023-11-30
Morocco,1661.69,2023-11-30
Mexico,1655.21,2023-11-30
Colombia,1651.2,2023-11-30
Germany,1631.22,2023-11-30
Japan,1620.19,2023-11-30
Switzerland,1613.44,2023-11-30
Denmark,1601.31,2023-11-30
Senegal,1594.31,2023-11-30
IR Iran,1565.08,2023-11-30
Ukraine,1553.35,2023-11-30
Korea Republic,1550.65,2023-11-30
Austria,1546.1,2023-11-30
Australia,1539.22,2023-11-30
Sweden,1530.19,2023-11-30
Hungary,1525.13,2023-11-30
Tunisia,1523.23,2023-11-30
Wales,1521.88,2023-11-30
Algeria,1520.26,2023-11-30
Poland,1520.24,2023-11-30
Ecuador,1519.2,2023-11-30
Egypt,1518.91,2023-11-30
Serbia,1517.43,2023-11-30
Peru,1512.68,2023-11-30
Scotland,1506.89,2023-11-30
Türkiye,1505.28,2023-11-30
Russia,1498.84,2023-11-30
Czechia,1494.04,2023-11-30
Chile,1489.82,2023-11-30
Panama,1475.62,2023-11-30
Nigeria,1474.44,2023-11-30
Romania,1472.73,2023-11-30
Norway,1472.36,2023-11-30
Slovakia,1465.73,2023-11-30
Cameroon,1463.06,2023-11-30
Greece,1453.95,2023-11-30
Canada,1453.76,2023-11-30
Venezuela,1448.77,2023-11-30
Côte d'Ivoire,1447.65,2023-11-30
Mali,1445.6,2023-11-30
Costa Rica,1437.57,2023-11-30
Paraguay,1430.73,2023-11-30
Slovenia,1427.84,2023-11-30
Jamaica,1421.54,2023-11-30
Saudi Arabia,1421.06,2023-11-30
Burkina Faso,1411.01,2023-11-30
Qatar,1407.3,2023-11-30
Finland,1401.31,2023-11-30
Republic of Ireland,1399.6,2023-11-30
Ghana,1384.19,2023-11-30
Albania,1382.69,2023-11-30
Iraq,1365.98,2023-11-30
United Arab Emirates,1364.46,2023-11-30
North Macedonia,1362.17,2023-11-30
South Africa,1357.08,2023-11-30
Congo DR,1356.66,2023-11-30
Uzbekistan,1345.26,2023-11-30
Bosnia and Herzegovina,1343.32,2023-11-30
Montenegro,1342.64,2023-11-30
Iceland,1338.39,2023-11-30
Northern Ireland,1333.17,2023-11-30
Cabo Verde,1329.8,2023-11-30
Oman,1324.89,2023-11-30
Israel,1323.43,2023-11-30
Honduras,1313.8,2023-11-30
Georgia,1312.45,2023-11-30
