country,points,date
Argentina,1851.41,2023-09-21
France,1840.76,2023-09-21
Brazil,1837.61,2023-09-21
England,1794.34,2023-09-21
Belgium,1792.64,2023-09-21
Croatia,1747.83,2023-09-21
Netherlands,1743.15,2023-09-21
Portugal,1728.58,2023-09-21
Italy,1727.37,2023-09-21
Spain,1710.72,2023-09-21
USA,1678.71,2023-09-21
Mexico,1661.46,2023-09-21
Morocco,1658.32,2023-09-21
Switzerland,1654.11,2023-09-21
Germany,1637.9,2023-09-21
Colombia,1629.6,2023-09-21
Uruguay,1626.51,2023-09-21
Denmark,1606.84,2023-09-21
Japan,1605.2,2023-09-21
Senegal,1597.01,2023-09-21
IR Iran,1561.26,2023-09-21
Peru,1551.91,2023-09-21
Sweden,1538.84,2023-09-21
Ukraine,1538.42,2023-09-21
Austria,1537.36,2023-09-21
Korea Republic,1533.01,2023-09-21
Australia,1531.72,2023-09-21
Serbia,1529.49,2023-09-21
Tunisia,1525.23,2023-09-21
Poland,1524.61,2023-09-21
Scotland,1522.67,2023-09-21
Hungary,1517.73,2023-09-21
Wales,1510.52,2023-09-21
Algeria,1509.5,2023-09-21
Egypt,1508.93,2023-09-21
Chile,1504.75,2023-09-21
Czechia,1500.44,2023-09-21
Ecuador,1497.66,2023-09-21
Russia,1495.53,2023-09-21
Nigeria,1488.86,2023-09-21
Cameroon,1475.6,2023-09-21
Türkiye,1475.4,2023-09-21
Norway,1470.88,2023-09-21
Canada,1458.58,2023-09-21
Panama,1452.25,2023-09-21
Costa Rica,1452.1,2023-09-21
Romania,1448.02,2023-09-21
Slovakia,1442.84,2023-09-21
Mali,1441.72,2023-09-21
Côte d'Ivoire,1437.89,2023-09-21
Greece,1437.26,2023-09-21
Paraguay,1432.08,2023-09-21
Venezuela,1422.83,2023-09-21
Finland,1418.43,2023-09-21
Republic of Ireland,1416.32,2023-09-21
Jamaica,1413.73,2023-09-21
Saudi Arabia,1412.82,2023-09-21
Burkina Faso,1408.87,2023-09-21
Slovenia,1404.72,2023-09-21
Ghana,1400,2023-09-21
Qatar,1395.57,2023-09-21
Albania,1377.47,2023-09-21
Bosnia and Herzegovina,1370.37,2023-09-21
Congo DR,1369.59,2023-09-21
South Africa,1368.25,2023-09-21
North Macedonia,1362.95,2023-09-21
Iceland,1351.93,2023-09-21
Montenegro,1349.34,2023-09-21
Iraq,1347.38,2023-09-21
United Arab Emirates,1342.43,2023-09-21
Cabo Verde,1337.29,2023-09-21
Israel,1336.34,2023-09-21
Oman,1334.37,2023-09-21
Northern Ireland,1333.2,2023-09-21
Uzbekistan,1328.35,2023-09-21
El Salvador,1307,2023-09-21
Honduras,1305.78,2023-09-21
Bulgaria,1300.74,2023-09-21
Georgia,1299.32,2023-09-21
China PR,1297.25,2023-09-21
Guinea,1293.11,2023-09-21
Zambia,1289.63,2023-09-21
Bolivia,1287.86,2023-09-21
Jordan,1286.36,2023-09-21
Luxembourg,1273.55,2023-09-21
Bahrain,1273.54,2023-09-21
Haiti,1270.76,2023-09-21
Gabon,1270.55,2023-09-21
Uganda,1259.97,2023-09-21
Curaçao,1259.4,2023-09-21
Armenia,1254.47,2023-09-21
Equatorial Guinea,1248.98,2023-09-21
Syria,1245.81,2023-09-21
Benin,1245.44,2023-09-21
Vietnam,1243.14,2023-09-21
Kyrgyz Republic,1228.6,2023-09-21
Palestine,1224.05,2023-09-21
Trinidad and Tobago,1217.24,2023-09-21
Mauritania,1207.39,2023-09-21
Kazakhstan,1206.94,2023-09-21
Lebanon,1205.56,2023-09-21
India,1204.88,2023-09-21
Guatemala,1200.18,2023-09-21
Aotearoa New Zealand,1199.04,2023-09-21
Belarus,1198.22,2023-09-21
Guinea-Bissau,1190.88,2023-09-21
Congo,1189.9,2023-09-21
Madagascar,1187.8,2023-09-21
Kenya,1184.14,2023-09-21
Tajikistan,1183.01,2023-09-21
Kosovo,1181.91,2023-09-21
Thailand,1181.21,2023-09-21
Mozambique,1179.03,2023-09-21
Namibia,1172.41,2023-09-21
Estonia,1172.25,2023-09-21
Korea DPR,1169.96,2023-09-21
Angola,1167.7,2023-09-21
The Gambia,1160.55,2023-09-21
Togo,1158.24,2023-09-21
Cyprus,1155.95,2023-09-21
Azerbaijan,1147.69,2023-09-21
Tanzania,1146.46,2023-09-21
Malawi,1144.29,2023-09-21
Sierra Leone,1144.16,2023-09-21
Zimbabwe,1138.56,2023-09-21
Libya,1133.6,2023-09-21
Central African Republic,1126.72,2023-09-21
Niger,1120.01,2023-09-21
Comoros,1118.62,2023-09-21
Sudan,1109.22,2023-09-21
Faroe Islands,1106.52,2023-09-21
Philippines,1099.29,2023-09-21
Solomon Islands,1097.61,2023-09-21
Malaysia,1094.9,2023-09-21
Kuwait,1093.38,2023-09-21
Latvia,1089.99,2023-09-21
Antigua and Barbuda,1089.3,2023-09-21
Nicaragua,1089.02,2023-09-21
Rwanda,1087.03,2023-09-21
Turkmenistan,1086.12,2023-09-21
Burundi,1080.43,2023-09-21
Ethiopia,1072.54,2023-09-21
Lithuania,1072.21,2023-09-21
Eswatini,1065.69,2023-09-21
Suriname,1063.06,2023-09-21
St Kitts and Nevis,1058.06,2023-09-21
Indonesia,1052.87,2023-09-21
"Hong Kong, China",1052.26,2023-09-21
Botswana,1050.69,2023-09-21
Liberia,1047.85,2023-09-21
Dominican Republic,1036.11,2023-09-21
Lesotho,1034.18,2023-09-21
Andorra,1024.58,2023-09-21
Chinese Taipei,1023.66,2023-09-21
Maldives,1021.85,2023-09-21
Yemen,1020.37,2023-09-21
Singapore,1016.47,2023-09-21
Afghanistan,1014.25,2023-09-21
Moldova,1010.1,2023-09-21
Puerto Rico,1008.23,2023-09-21
Myanmar,1004.46,2023-09-21
Papua New Guinea,1003.28,2023-09-21
New Caledonia,995.58,2023-09-21
Tahiti,995.11,2023-09-21
Guyana,994.45,2023-09-21
St Lucia,987.66,2023-09-21
South Sudan,986.56,2023-09-21
Vanuatu,986.44,2023-09-21
Cuba,981.15,2023-09-21
Fiji,980.48,2023-09-21
Malta,972.02,2023-09-21
Barbados,969.91,2023-09-21
Grenada,959.17,2023-09-21
Bermuda,958.48,2023-09-21
Nepal,953.85,2023-09-21
St Vincent and the Grenadines,953.6,2023-09-21
Cambodia,948.64,2023-09-21
Mauritius,942.64,2023-09-21
Montserrat,939.88,2023-09-21
Belize,932.44,2023-09-21
Chad,930.22,2023-09-21
Dominica,911.33,2023-09-21
Mongolia,908.71,2023-09-21
Bhutan,905.78,2023-09-21
Macau,903.89,2023-09-21
Laos,899.58,2023-09-21
Cook Islands,899.33,2023-09-21
São Tomé and Príncipe,897.69,2023-09-21
Bangladesh,894.23,2023-09-21
Djibouti,889.2,2023-09-21
Brunei Darussalam,887.58,2023-09-21
Timor-Leste,860.45,2023-09-21
Aruba,858.5,2023-09-21
Somalia,854.72,2023-09-21
Seychelles,853.5,2023-09-21
Cayman Islands,851.59,2023-09-21
Pakistan,847.67,2023-09-21
