country,points,date
Belgium,1832.33,2021-09-16
Brazil,1811.73,2021-09-16
England,1755.44,2021-09-16
France,1754.31,2021-09-16
Italy,1735.73,2021-09-16
Argentina,1725.31,2021-09-16
Portugal,1674.9,2021-09-16
Spain,1673.68,2021-09-16
Mexico,1666.19,2021-09-16
Denmark,1658.49,2021-09-16
Netherlands,1648.2,2021-09-16
Uruguay,1645.42,2021-09-16
USA,1643.1,2021-09-16
Germany,1627.8,2021-09-16
Switzerland,1622.73,2021-09-16
Colombia,1618.4,2021-09-16
Croatia,1608.25,2021-09-16
Sweden,1606.03,2021-09-16
Wales,1563.59,2021-09-16
Senegal,1555.37,2021-09-16
Peru,1548.78,2021-09-16
IR Iran,1538.08,2021-09-16
Chile,1536.53,2021-09-16
Poland,1531.82,2021-09-16
Tunisia,1526.87,2021-09-16
Japan,1520.46,2021-09-16
Ukraine,1520.07,2021-09-16
Serbia,1515.97,2021-09-16
Austria,1504.82,2021-09-16
Algeria,1498.62,2021-09-16
Czech Republic,1494.78,2021-09-16
Australia,1493.99,2021-09-16
Morocco,1493.23,2021-09-16
Nigeria,1492.37,2021-09-16
Paraguay,1484.31,2021-09-16
Korea Republic,1479.41,2021-09-16
Russia,1475.43,2021-09-16
Slovakia,1462.59,2021-09-16
Norway,1461.76,2021-09-16
Hungary,1456.93,2021-09-16
Turkey,1455.44,2021-09-16
Romania,1451.8,2021-09-16
Qatar,1445.83,2021-09-16
Costa Rica,1438.29,2021-09-16
Scotland,1435.64,2021-09-16
Greece,1435.43,2021-09-16
Northern Ireland,1435.06,2021-09-16
Egypt,1434.62,2021-09-16
Venezuela,1434.14,2021-09-16
Republic of Ireland,1418.7,2021-09-16
Canada,1416.23,2021-09-16
Ecuador,1415.09,2021-09-16
Ghana,1411.3,2021-09-16
Côte d'Ivoire,1410.56,2021-09-16
Finland,1406.92,2021-09-16
Saudi Arabia,1406.34,2021-09-16
Bosnia and Herzegovina,1405.3,2021-09-16
Cameroon,1404.46,2021-09-16
Jamaica,1402.39,2021-09-16
Iceland,1397.32,2021-09-16
Mali,1396.52,2021-09-16
Burkina Faso,1393.82,2021-09-16
Honduras,1371.61,2021-09-16
Slovenia,1370.46,2021-09-16
El Salvador,1369.73,2021-09-16
Albania,1368.73,2021-09-16
Congo DR,1365.17,2021-09-16
Panama,1358.77,2021-09-16
United Arab Emirates,1357.84,2021-09-16
Bulgaria,1353.93,2021-09-16
Montenegro,1352.83,2021-09-16
Iraq,1348.83,2021-09-16
South Africa,1348.6,2021-09-16
North Macedonia,1345.47,2021-09-16
China PR,1334.52,2021-09-16
Guinea,1326.09,2021-09-16
Cabo Verde,1314.19,2021-09-16
Oman,1311.82,2021-09-16
Curaçao,1310.4,2021-09-16
Israel,1310.33,2021-09-16
Syria,1296.75,2021-09-16
Benin,1290.81,2021-09-16
Bolivia,1283.65,2021-09-16
Uzbekistan,1282.27,2021-09-16
Zambia,1280.19,2021-09-16
Uganda,1279.85,2021-09-16
Haiti,1268.05,2021-09-16
Gabon,1266.61,2021-09-16
Armenia,1262.4,2021-09-16
Belarus,1254.81,2021-09-16
Bahrain,1251.31,2021-09-16
Congo,1247.81,2021-09-16
Jordan,1245.64,2021-09-16
Luxembourg,1244.55,2021-09-16
Vietnam,1244.09,2021-09-16
Georgia,1240.87,2021-09-16
Lebanon,1233.61,2021-09-16
Kyrgyz Republic,1230.6,2021-09-16
Palestine,1211.32,2021-09-16
Madagascar,1211.19,2021-09-16
Trinidad and Tobago,1207.94,2021-09-16
Kenya,1205.12,2021-09-16
Cyprus,1202.65,2021-09-16
Mauritania,1200.6,2021-09-16
Guinea-Bissau,1186.61,2021-09-16
Namibia,1185.12,2021-09-16
India,1181.45,2021-09-16
Sierra Leone,1177.71,2021-09-16
Kosovo,1176.28,2021-09-16
Libya,1174.94,2021-09-16
Estonia,1174.44,2021-09-16
Korea DPR,1169.96,2021-09-16
Zimbabwe,1160.91,2021-09-16
Faroe Islands,1160.39,2021-09-16
Malawi,1159.81,2021-09-16
Mozambique,1158.59,2021-09-16
Azerbaijan,1158.46,2021-09-16
Tajikistan,1157.77,2021-09-16
Niger,1156.17,2021-09-16
Kazakhstan,1151.18,2021-09-16
New Zealand,1149.43,2021-09-16
Thailand,1148.63,2021-09-16
Guatemala,1138.4,2021-09-16
Central African Republic,1136.25,2021-09-16
Philippines,1131.93,2021-09-16
Antigua and Barbuda,1131.07,2021-09-16
Sudan,1130.91,2021-09-16
Rwanda,1129.37,2021-09-16
Angola,1118.12,2021-09-16
Turkmenistan,1117.6,2021-09-16
Equatorial Guinea,1116.12,2021-09-16
Tanzania,1115.37,2021-09-16
Comoros,1112,2021-09-16
Ethiopia,1092.74,2021-09-16
Latvia,1092.45,2021-09-16
Togo,1090.95,2021-09-16
Lithuania,1082.2,2021-09-16
St. Kitts and Nevis,1077.76,2021-09-16
Suriname,1077.57,2021-09-16
Solomon Islands,1072.78,2021-09-16
Burundi,1070.95,2021-09-16
Kuwait,1065.31,2021-09-16
Nicaragua,1064.32,2021-09-16
Liberia,1060.93,2021-09-16
Lesotho,1057.62,2021-09-16
Myanmar,1057.44,2021-09-16
Eswatini,1054.14,2021-09-16
Hong Kong,1053.39,2021-09-16
Gambia,1053.18,2021-09-16
Botswana,1051.59,2021-09-16
Chinese Taipei,1046.34,2021-09-16
Yemen,1046.26,2021-09-16
Afghanistan,1045.34,2021-09-16
Malaysia,1040.81,2021-09-16
New Caledonia,1035.12,2021-09-16
Andorra,1033.27,2021-09-16
Dominican Republic,1029.42,2021-09-16
Maldives,1028.3,2021-09-16
Tahiti,1014.27,2021-09-16
Singapore,1000.35,2021-09-16
Fiji,996.27,2021-09-16
Barbados,995.94,2021-09-16
Vanuatu,995.62,2021-09-16
Papua New Guinea,990.55,2021-09-16
South Sudan,982.84,2021-09-16
Bermuda,982.43,2021-09-16
Grenada,974.03,2021-09-16
Nepal,970.95,2021-09-16
Belize,967.42,2021-09-16
Mauritius,964.94,2021-09-16
Malta,963.16,2021-09-16
Puerto Rico,962.77,2021-09-16
St. Vincent and the Grenadines,960.71,2021-09-16
Guyana,958.87,2021-09-16
Indonesia,957.05,2021-09-16
St. Lucia,953.45,2021-09-16
Montserrat,950.71,2021-09-16
Cambodia,950.26,2021-09-16
Cuba,946.86,2021-09-16
Moldova,940.3,2021-09-16
Chad,935,2021-09-16
Macau,922.1,2021-09-16
Dominica,916.72,2021-09-16
Mongolia,916.68,2021-09-16
Djibouti,912.57,2021-09-16
Laos,912.07,2021-09-16
Bhutan,910.96,2021-09-16
Liechtenstein,910.94,2021-09-16
Bangladesh,906.84,2021-09-16
Brunei Darussalam,903.9,2021-09-16
São Tomé and Príncipe,903.31,2021-09-16
American Samoa,900.27,2021-09-16
Samoa,894.26,2021-09-16
