country,points,date
Argentina,1855.2,2024-02-15
France,1845.44,2024-02-15
England,1800.05,2024-02-15
Belgium,1798.46,2024-02-15
Brazil,1784.09,2024-02-15
Netherlands,1745.48,2024-02-15
Portugal,1745.06,2024-02-15
Spain,1732.64,2024-02-15
Italy,1718.82,2024-02-15
Croatia,1717.57,2024-02-15
Uruguay,1665.99,2024-02-15
Morocco,1663.39,2024-02-15
USA,1661.7,2024-02-15
Colombia,1655.29,2024-02-15
Mexico,1652.7,2024-02-15
Germany,1631.22,2024-02-15
Senegal,1620.74,2024-02-15
Japan,1614.33,2024-02-15
Switzerland,1613.44,2024-02-15
IR Iran,1608.23,2024-02-15
Denmark,1601.31,2024-02-15
Korea Republic,1566.21,2024-02-15
Australia,1554.82,2024-02-15
Ukraine,1553.35,2024-02-15
Austria,1546.1,2024-02-15
Sweden,1531.13,2024-02-15
Hungary,1525.13,2024-02-15
Nigeria,1522.26,2024-02-15
Wales,1521.88,2024-02-15
Poland,1520.24,2024-02-15
Ecuador,1519.2,2024-02-15
Serbia,1517.43,2024-02-15
Peru,1512.68,2024-02-15
Scotland,1506.89,2024-02-15
Türkiye,1505.28,2024-02-15
Egypt,1500.38,2024-02-15
Qatar,1499.34,2024-02-15
Russia,1498.84,2024-02-15
Côte d'Ivoire,1494.57,2024-02-15
Czechia,1494.04,2024-02-15
Tunisia,1491.15,2024-02-15
Chile,1489.82,2024-02-15
Algeria,1480.24,2024-02-15
Panama,1475.62,2024-02-15
Romania,1472.73,2024-02-15
Norway,1472.36,2024-02-15
Mali,1469.81,2024-02-15
Slovakia,1465.73,2024-02-15
Greece,1453.95,2024-02-15
Canada,1453.76,2024-02-15
Cameroon,1452.59,2024-02-15
Venezuela,1447.2,2024-02-15
Saudi Arabia,1441.4,2024-02-15
Costa Rica,1437.57,2024-02-15
Slovenia,1431.4,2024-02-15
Paraguay,1430.73,2024-02-15
Jamaica,1421.54,2024-02-15
South Africa,1410.23,2024-02-15
Iraq,1409.44,2024-02-15
Finland,1401.31,2024-02-15
Burkina Faso,1399.92,2024-02-15
Republic of Ireland,1399.6,2024-02-15
Congo DR,1388.25,2024-02-15
Albania,1382.69,2024-02-15
Cabo Verde,1377.06,2024-02-15
Uzbekistan,1376.5,2024-02-15
Ghana,1363.42,2024-02-15
North Macedonia,1362.17,2024-02-15
United Arab Emirates,1355.55,2024-02-15
Jordan,1343.6,2024-02-15
Bosnia and Herzegovina,1343.32,2024-02-15
Montenegro,1342.64,2024-02-15
Iceland,1342.57,2024-02-15
Northern Ireland,1333.17,2024-02-15
Israel,1323.43,2024-02-15
Guinea,1320.42,2024-02-15
Georgia,1312.45,2024-02-15
Honduras,1311.43,2024-02-15
Equatorial Guinea,1310.5,2024-02-15
Oman,1307.6,2024-02-15
El Salvador,1306.14,2024-02-15
Bahrain,1297.32,2024-02-15
Bulgaria,1289.9,2024-02-15
Gabon,1289.52,2024-02-15
Luxembourg,1285.41,2024-02-15
Bolivia,1284.55,2024-02-15
Zambia,1275.71,2024-02-15
China PR,1273.78,2024-02-15
Syria,1265.51,2024-02-15
Haiti,1262.5,2024-02-15
Curaçao,1262.48,2024-02-15
Uganda,1246.88,2024-02-15
Angola,1238.11,2024-02-15
Armenia,1237.15,2024-02-15
Belarus,1232.8,2024-02-15
Trinidad and Tobago,1228.05,2024-02-15
Palestine,1227.2,2024-02-15
Benin,1225.1,2024-02-15
Tajikistan,1218.89,2024-02-15
Kazakhstan,1215.16,2024-02-15
Thailand,1206.72,2024-02-15
Kosovo,1202.77,2024-02-15
Aotearoa New Zealand,1197.47,2024-02-15
Kyrgyz Republic,1196.97,2024-02-15
Vietnam,1194.58,2024-02-15
Mauritania,1194.48,2024-02-15
Namibia,1192.13,2024-02-15
Guatemala,1188.17,2024-02-15
Madagascar,1187.63,2024-02-15
Mozambique,1184.49,2024-02-15
Kenya,1181.92,2024-02-15
Congo,1179.8,2024-02-15
Azerbaijan,1174.22,2024-02-15
Korea DPR,1168.12,2024-02-15
Lebanon,1168.07,2024-02-15
Togo,1165.74,2024-02-15
India,1165.17,2024-02-15
Guinea-Bissau,1164.01,2024-02-15
Tanzania,1160.98,2024-02-15
Libya,1159.51,2024-02-15
Comoros,1156.45,2024-02-15
Malawi,1149.4,2024-02-15
Estonia,1148.76,2024-02-15
Zimbabwe,1144.56,2024-02-15
Cyprus,1143.42,2024-02-15
Sierra Leone,1137.36,2024-02-15
Sudan,1128.74,2024-02-15
Niger,1127.75,2024-02-15
Central African Republic,1121.34,2024-02-15
The Gambia,1114.8,2024-02-15
Solomon Islands,1113.57,2024-02-15
Malaysia,1110.17,2024-02-15
Rwanda,1107.04,2024-02-15
Nicaragua,1104.26,2024-02-15
Faroe Islands,1102.1,2024-02-15
Latvia,1097.84,2024-02-15
