country,points,date
Belgium,1828.45,2021-12-23
Brazil,1826.35,2021-12-23
France,1786.15,2021-12-23
England,1755.52,2021-12-23
Argentina,1750.51,2021-12-23
Italy,1740.77,2021-12-23
Spain,1704.75,2021-12-23
Portugal,1660.25,2021-12-23
Denmark,1654.54,2021-12-23
Netherlands,1653.73,2021-12-23
USA,1648.51,2021-12-23
Germany,1648.33,2021-12-23
Switzerland,1642.83,2021-12-23
Mexico,1638.3,2021-12-23
Croatia,1620.74,2021-12-23
Colombia,1607.15,2021-12-23
Uruguay,1596.66,2021-12-23
Sweden,1588.26,2021-12-23
Wales,1578.01,2021-12-23
Senegal,1561.68,2021-12-23
IR Iran,1557.58,2021-12-23
Peru,1551.15,2021-12-23
Serbia,1547.38,2021-12-23
Chile,1543.42,2021-12-23
Ukraine,1535.08,2021-12-23
Japan,1531.53,2021-12-23
Poland,1530.62,2021-12-23
Morocco,1529.93,2021-12-23
Algeria,1516.51,2021-12-23
Tunisia,1512.72,2021-12-23
Austria,1511.56,2021-12-23
Czech Republic,1510.42,2021-12-23
Korea Republic,1507.24,2021-12-23
Russia,1493.42,2021-12-23
Australia,1484.88,2021-12-23
Nigeria,1478.78,2021-12-23
Turkey,1472.72,2021-12-23
Scotland,1471.82,2021-12-23
Hungary,1465.62,2021-12-23
Canada,1462.32,2021-12-23
Norway,1455.43,2021-12-23
Slovakia,1455.36,2021-12-23
Paraguay,1454.52,2021-12-23
Romania,1453.18,2021-12-23
Egypt,1451.77,2021-12-23
Ecuador,1448.27,2021-12-23
Republic of Ireland,1444.29,2021-12-23
Qatar,1437.91,2021-12-23
Costa Rica,1437.43,2021-12-23
Cameroon,1437.35,2021-12-23
Saudi Arabia,1434.71,2021-12-23
Ghana,1428.97,2021-12-23
Mali,1427.98,2021-12-23
Northern Ireland,1424.97,2021-12-23
Greece,1421.99,2021-12-23
Côte d'Ivoire,1417.86,2021-12-23
Jamaica,1412.13,2021-12-23
Finland,1411.77,2021-12-23
Venezuela,1409.14,2021-12-23
Burkina Faso,1397.64,2021-12-23
Bosnia and Herzegovina,1391.19,2021-12-23
Iceland,1385.21,2021-12-23
Panama,1379.34,2021-12-23
Congo DR,1375.64,2021-12-23
Slovenia,1375.42,2021-12-23
Albania,1374.98,2021-12-23
North Macedonia,1367.23,2021-12-23
